	2017/09	2018/09	2019/09	2020/09	2019/06	2019/09	2019/12	2020/03
매출액	1,855	1,970	2,014		542	505	544	
영업이익	117	127	124		39	25	9	
영업이익(발표기준)	117	127	124		39	25	9	
세전계속사업이익	114	126	141		43	28	7	
당기순이익	66	102	106		34	13	4	
당기순이익(지배)	35	69	65		23	4	2	
당기순이익(비지배)	31	33						
자산총계	2,470	2,529	2,602		2,603	2,602	3,214	
부채총계	970	966	966		982	966	1,583	
자본총계	1,500	1,563	1,635		1,620	1,635	1,631	
자본총계(지배)	936	985	1,035		1,028	1,035	1,028	
자본총계(비지배)	564	577						
자본금	50	50	50		50	50	50	
영업활동현금흐름	185	171	252		41	69	89	
투자활동현금흐름	-107	-103	-217		-96	-38	-715	
재무활동현금흐름	-67	-37	-15		-27	6	485	
CAPEX	76	121	110		7	38	73	
FCF	109	50	141		34	30	16	
이자발생부채	509	497	511		510	511	1,035	
영업이익률	6.29	6.45	6.17		7.17	4.92	1.67	
순이익률	3.58	5.16	5.27		6.33	2.57	0.72	
ROE(%)	3.81	7.15	6.48		7.60	6.48	4.11	
ROA(%)	2.67	4.07	4.14		4.52	4.14	2.58	
부채비율	64.65	61.85	59.09		60.63	59.09	97.06	
자본유보율	1,808.38	1,916.52	2,086.56		2,072.97	2,086.56	2,070.56	
EPS(원)	3,516	6,869	6,547		2,271	359	190	
PER(배)	22.04	9.72	9.81		9.13	9.81	15.24	
BPS(원)	115,604	121,722	127,891		127,029	127,891	127,028	
PBR(배)	0.67	0.55	0.50		0.55	0.50	0.50	
현금DPS(원)	1,500	1,700	1,700		0	1,200	0	
현금배당수익률	1.94	2.54	2.65					
현금배당성향(%)	34.53	20.03	21.02		0.00	270.22	0.00	
발행주식수(보통주)	1,000,000	1,000,000	1,000,000		1,000,000	1,000,000	1,000,000	
