		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			227,083		62,975	73,293	33,061	
영업이익			28,000	23,997	8,764	6,593	4,303	7,304
영업이익(발표기준)			28,000		8,764	6,593	4,303	
세전계속사업이익			27,230	23,714	9,023	6,703	3,247	7,112
당기순이익			20,376	18,078	6,574	5,341	2,315	5,113
당기순이익(지배)			18,722	16,320	6,110	4,860	2,065	4,760
당기순이익(비지배)								
자산총계			3,619,807	3,782,670	3,594,017	3,705,842	3,619,807	
부채총계			3,364,884	3,519,435	3,365,634	3,463,029	3,364,884	
자본총계			254,923	263,234	228,382	242,813	254,923	
자본총계(지배)			215,104	225,660	194,431	208,447	215,104	
자본총계(비지배)								
자본금			36,113	36,562	34,008	36,113	36,113	
영업활동현금흐름			18,703		39,792	-5,042	-1,804	
투자활동현금흐름			-85,881		-62,737	-10,748	-11,320	
재무활동현금흐름			61,710		40,780	35,301	-11,185	
CAPEX			4,295		630	1,071	2,246	
FCF								
이자발생부채			491,454		486,017	515,671	491,454	
영업이익률			12.33		13.92	9.00	13.01	
순이익률			8.97		10.44	7.29	7.00	
ROE(%)				7.41				
ROA(%)				0.49				
부채비율			1,319.96	1,337.00	1,473.68	1,426.21	1,319.96	
자본유보율			605.90		571.55	576.88	605.90	
EPS(원)			2,776	2,260	898	705	286	659
PER(배)			4.18	3.47			4.18	
BPS(원)			29,782	31,243	28,586	28,860	29,782	
PBR(배)			0.39	0.25	0.49	0.43	0.39	
현금DPS(원)			700	622	0	0	700	
현금배당수익률			6.03	7.94				
현금배당성향(%)			27.00	27.52	0.00	0.00	244.82	
발행주식수(보통주)			722,267,683		680,164,306	722,267,683	722,267,683	
