	2018/06	2019/06	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액		20	225					
영업이익		15	145					
영업이익(발표기준)		15	145					
세전계속사업이익		15	106					
당기순이익		15	106					
당기순이익(지배)		15	106					
당기순이익(비지배)								
자산총계		4,568	15,838		4,568		15,838	
부채총계		256	7,216		256		7,216	
자본총계		4,312	8,623		4,312		8,623	
자본총계(지배)		4,312	8,623		4,312		8,623	
자본총계(비지배)								
자본금		430	860		430		860	
영업활동현금흐름		161	736					
투자활동현금흐름		-209	-11,175					
재무활동현금흐름		48	10,606					
CAPEX								
FCF		161	736		0		0	
이자발생부채		0	6,418		0		6,418	
영업이익률		77.30	64.48					
순이익률		75.80	47.04					
ROE(%)			1.64					
ROA(%)			1.04					
부채비율		5.95	83.68		5.95		83.68	
자본유보율		902.99	902.82		902.99		902.82	
EPS(원)		161	86					
PER(배)			71.28					
BPS(원)		5,015	5,014		5,015		5,014	
PBR(배)		0.00	1.23		0.00		1.23	
현금DPS(원)		0	96		0	0	96	
현금배당수익률			1.56					
현금배당성향(%)		0.00	156.76					
발행주식수(보통주)		85,984,442			85,984,442	85,984,442	171,968,884	
