	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,117	1,461	1,103		284	262	292	
영업이익	267	272	27		11	-14	19	
영업이익(발표기준)	267	272	27		11	-14	19	
세전계속사업이익	254	263	22		12	-15	16	
당기순이익	199	204	15		10	-12	12	
당기순이익(지배)	198	202	16		9	-13	14	
당기순이익(비지배)	1							
자산총계	1,553	1,828	1,788		1,747	1,705	1,788	
부채총계	452	574	538		497	466	538	
자본총계	1,101	1,254	1,250		1,250	1,239	1,250	
자본총계(지배)	1,081	1,232	1,234		1,233	1,221	1,234	
자본총계(비지배)	20							
자본금	18	37	37		37	37	37	
영업활동현금흐름	-158	105	42		38	-14	95	
투자활동현금흐름	-142	-101	-10		54	-17	-26	
재무활동현금흐름	317	35	19		-52	-20	74	
CAPEX	134	66	87		-16	17	16	
FCF	-292	39	-45		55	-32	79	
이자발생부채	296	379	453		396	396	453	
영업이익률	23.92	18.60	2.46		3.85	-5.38	6.38	
순이익률	17.78	13.99	1.39		3.60	-4.63	4.14	
ROE(%)	24.19	17.46	1.28		8.48	4.32	1.28	
ROA(%)	15.99	12.09	0.85		5.88	3.17	0.85	
부채비율	41.10	45.80	43.03		39.74	37.65	43.03	
자본유보율	5,748.04	3,335.69	3,335.80		3,322.91	3,286.48	3,335.80	
EPS(원)	541	546	43		25	-36	38	
PER(배)	6.92	5.61	55.93		9.60	16.88	55.93	
BPS(원)	2,922	3,409	3,413		3,410	3,377	3,413	
PBR(배)	1.28	0.90	0.70		0.77	0.70	0.70	
현금DPS(원)	38	40						
현금배당수익률	1.00	1.31						
현금배당성향(%)	7.01	7.16	0.00		0.00	0.00	0.00	
발행주식수(보통주)	36,988,000	36,988,000	36,988,000		36,988,000	36,988,000	36,988,000	
