	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	19,937	18,772	18,725	17,557	4,612	4,748	5,164	3,665
영업이익	1,353	1,431	1,362	1,118	385	327	434	145
영업이익(발표기준)	1,353	1,431	1,362		385	327	434	
세전계속사업이익	1,292	194	889	728	-128	253	401	320
당기순이익	790	15	436	90	-218	167	218	
당기순이익(지배)	936	79	485	532	-201	184	212	195
당기순이익(비지배)	-146							
자산총계	22,876	23,748	25,477	25,260	23,739	23,984	25,477	
부채총계	14,524	14,436	15,996	15,930	14,564	14,627	15,996	
자본총계	8,353	9,312	9,482	9,330	9,175	9,356	9,482	
자본총계(지배)	8,363	9,211	9,366	9,220	9,048	9,244	9,366	
자본총계(비지배)	-11							
자본금	1,232	1,358	1,360	1,360	1,360	1,360	1,360	
영업활동현금흐름	927	1,686	1,020	470	467	-12	314	
투자활동현금흐름	-3,698	-1,364	-3,476	-1,160	-474	-763	-2,057	
재무활동현금흐름	1,148	-173	1,682	430	-184	35	1,793	
CAPEX	1,065	434	411		-21	88	214	
FCF	-138	1,252	609	270	488	-100	100	
이자발생부채	4,948	3,880	4,931		3,953	4,009	4,931	
영업이익률	6.79	7.62	7.27	6.37	8.35	6.90	8.41	3.96
순이익률	3.96	0.08	2.33	0.51	-4.72	3.52	4.21	
ROE(%)	11.59	0.90	5.22	5.73	4.04	5.74	5.22	
ROA(%)	3.60	0.06	1.77	0.36	1.24	1.92	1.77	
부채비율	173.88	155.03	168.70	170.74	158.73	156.34	168.70	
자본유보율	591.01	585.32	596.00		570.77	583.93	596.00	
EPS(원)	3,801	299	1,785	1,956	-740	675	781	717
PER(배)	14.31	357.89	38.26	32.01	67.80	46.53	38.26	
BPS(원)	33,952	33,916	34,436	35,605	33,265	33,988	34,436	
PBR(배)	1.60	3.15	1.98	1.76	2.73	2.63	1.98	
현금DPS(원)	500	900	900	900	0	0	900	
현금배당수익률	0.92	0.84	1.32	1.44				
현금배당성향(%)	13.16	307.80	50.46	46.01	0.00	0.00	115.26	
발행주식수(보통주)	24,632,513	27,158,266	27,199,334		27,199,334	27,199,334	27,199,334	
