	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	448	513	593		172	110	152	
영업이익	23	9	-48		8	-2	-68	
영업이익(발표기준)	23	9	-48		8	-2	-68	
세전계속사업이익	-61	-92	-256		-32	28	-256	
당기순이익	-55	-75	-251		-31	28	-256	
당기순이익(지배)	-55	-75	-248		-31	28	-253	
당기순이익(비지배)								
자산총계	1,236	1,559	1,680		1,586	1,550	1,680	
부채총계	711	974	1,056		726	660	1,056	
자본총계	525	584	624		861	890	624	
자본총계(지배)	525	582	623		858	888	623	
자본총계(비지배)								
자본금	80	97	113		113	113	113	
영업활동현금흐름	-57	-69	17		20	16	6	
투자활동현금흐름	-147	-322	99		-26	-5	107	
재무활동현금흐름	219	329	250		-12	-15	245	
CAPEX	38	16	16		18	3	-8	
FCF	-95	-85	1		3	13	14	
이자발생부채	532	818	847		597	558	847	
영업이익률	5.08	1.71	-8.07		4.81	-2.22	-44.78	
순이익률	-12.36	-14.68	-42.37		-18.25	25.19	-168.85	
ROE(%)	-10.83	-13.46	-41.14		-11.67	-6.68	-41.14	
ROA(%)	-4.88	-5.39	-15.53		-5.97	-3.44	-15.53	
부채비율	135.50	166.78	169.09		84.34	74.10	169.09	
자본유보율	624.88	560.28	472.66		673.15	698.27	472.66	
EPS(원)	-379	-403	-1,129		-141	122	-1,117	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	3,415	3,102	2,748		3,799	3,923	2,748	
PBR(배)	1.56	2.11	1.48		1.63	1.29	1.48	
현금DPS(원)	0	0			0			
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	16,000,939	19,401,592	22,661,448		22,595,805	22,639,567	22,661,448	
