	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,181	1,327	1,485		383	348	437	
영업이익	-55	-346	-265		-46	-69	-75	
영업이익(발표기준)	-55	-346	-265		-46	-69	-75	
세전계속사업이익	-44	-549	-802		-189	-83	-44	
당기순이익	-14	-507	-923		-397	-86	-72	
당기순이익(지배)	-14	-507	-923		-397	-86	-72	
당기순이익(비지배)								
자산총계	7,168	6,189	2,783		3,139	3,031	2,783	
부채총계	1,714	1,728	1,773		1,861	1,850	1,773	
자본총계	5,454	4,461	1,010		1,277	1,181	1,010	
자본총계(지배)	5,454	4,461	1,010		1,277	1,181	1,010	
자본총계(비지배)								
자본금	38	57	57		57	57	57	
영업활동현금흐름	-83	-136	-202		-43	-48	-273	
투자활동현금흐름	-602	-251	-196		-214	-30	129	
재무활동현금흐름	-132	155	130		110	40	40	
CAPEX	300	424	308		105	48	23	
FCF	-383	-560	-510		-148	-96	-295	
이자발생부채	490	651	787		709	749	787	
영업이익률	-4.70	-26.05	-17.87		-12.02	-19.79	-17.10	
순이익률	-1.19	-38.20	-62.15		-103.80	-24.76	-16.43	
ROE(%)	-0.35	-10.22	-33.75		-41.11	-39.50	-33.75	
ROA(%)	-0.26	-7.59	-20.58		-26.22	-25.08	-20.58	
부채비율	31.42	38.72	175.48		145.69	156.72	175.48	
자본유보율	6,654.58	3,516.30	1,868.50		2,173.63	2,022.08	1,868.50	
EPS(원)	-123	-4,442	-8,090		-3,479	-755	-629	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	47,825	39,135	8,861		11,206	10,358	8,861	
PBR(배)	2.21	1.90	2.04		1.85	1.41	2.04	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	11,412,356	11,412,356	11,412,356		11,412,356	11,412,356	11,412,356	
