	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	3,658	4,799	4,982		1,281	1,174	1,311	
영업이익	411	534	453		144	114	94	
영업이익(발표기준)	411	534	453		144	114	94	
세전계속사업이익	257	342	235		120	73	-74	
당기순이익	177	216	145		101	50	-97	
당기순이익(지배)	64	14	-24		42	29	-118	
당기순이익(비지배)	112							
자산총계	5,200	6,049	7,067		6,624	6,975	7,067	
부채총계	3,383	3,987	4,702		4,279	4,527	4,702	
자본총계	1,817	2,062	2,365		2,345	2,447	2,365	
자본총계(지배)	1,317	1,339	1,450		1,486	1,554	1,450	
자본총계(비지배)	489							
자본금	112	114	138		127	127	138	
영업활동현금흐름	384	449	719		37	7	474	
투자활동현금흐름	-999	-1,172	-1,307		-297	-251	-506	
재무활동현금흐름	614	715	633		163	323	-7	
CAPEX	865	1,211	1,170		279	202	426	
FCF	-481	-762	-451		-242	-196	48	
이자발생부채	2,398	3,124	3,647		3,471	3,730	3,647	
영업이익률	11.22	11.13	9.08		11.20	9.72	7.20	
순이익률	4.83	4.51	2.91		7.87	4.22	-7.37	
ROE(%)	5.09	1.05	-1.70		0.24	1.40	-1.70	
ROA(%)	3.80	3.85	2.21		4.20	3.72	2.21	
부채비율	186.15	193.28	198.87		182.53	185.00	198.87	
자본유보율	842.82	876.28	849.87		891.35	963.02	849.87	
EPS(원)	287	62	-95		169	116	-442	
PER(배)	18.67	61.45	N/A		298.70	47.68	N/A	
BPS(원)	6,028	6,037	5,342		5,986	6,258	5,342	
PBR(배)	0.89	0.63	1.05		0.71	0.63	1.05	
현금DPS(원)	0	60	50		0	0	50	
현금배당수익률	0.00	1.58	0.89					
현금배당성향(%)	0.00	95.11	-57.20		0.00	0.00	-11.50	
발행주식수(보통주)	22,370,446	22,727,078	27,675,085		25,370,632	25,370,632	27,675,085	
