	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	2,854	555	1,404	2,565	438	289	514	
영업이익	229	-278	-149	209	-32	-65	38	
영업이익(발표기준)	229	-278	-149		-32	-65	38	
세전계속사업이익	198	-278	-161	197	-51	-57	47	
당기순이익	175	-275	-160	164	-42	-60	50	
당기순이익(지배)	171	-275	-160	159	-42	-60	50	
당기순이익(비지배)	4							
자산총계	1,566	1,890	1,910	2,109	1,844	1,910	2,258	
부채총계	594	1,230	1,328	1,404	1,280	1,328	1,591	
자본총계	971	660	582	704	564	582	667	
자본총계(지배)	973	662	582	706	564	582	667	
자본총계(비지배)	-2							
자본금	29	86	92	86	87	92	94	
영업활동현금흐름	192	-483	-84	81	-106	-107	-188	
투자활동현금흐름	-503	-104	-128	-146	-18	-90	-64	
재무활동현금흐름	572	314	128	61	30	104	295	
CAPEX	452	43	117	75	9	105	57	
FCF	-260	-525	-201	4	-115	-212	-245	
이자발생부채	399	735	797		731	797	1,061	
영업이익률	8.04	-50.11	-10.63	8.15	-7.32	-22.65	7.32	
순이익률	6.12	-49.48	-11.40	6.37	-9.60	-20.74	9.73	
ROE(%)	26.63	-33.60	-25.72	24.69	-28.88	-25.72	-15.52	
ROA(%)	12.82	-15.90	-8.42	8.13	-11.60	-8.42	-4.94	
부채비율	61.19	186.37	227.98	199.29	226.86	227.98	238.71	
자본유보율	3,393.97	723.08	587.54		607.33	587.54	661.07	
EPS(원)	1,088	-1,594	-921	846	-243	-341	267	
PER(배)	10.98	N/A	N/A	13.01	N/A	N/A	N/A	
BPS(원)	5,732	3,869	3,202	3,780	3,287	3,202	3,571	
PBR(배)	2.09	1.89	3.26	2.91	2.32	3.26	2.63	
현금DPS(원)	102	0	0	0	0	0		
현금배당수익률	0.85	0.00	0.00	0.00				
현금배당성향(%)	9.94	0.00	0.00		0.00	0.00		
발행주식수(보통주)	17,128,147	17,272,398	18,353,188		17,329,031	18,353,188	18,828,825	
