	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,207	1,634	1,915		416	373	636	
영업이익	70	64	37		8	2	3	
영업이익(발표기준)	70	64	37		8	2	3	
세전계속사업이익	99	68	39		10	5	-1	
당기순이익	78	42	32		9	3	1	
당기순이익(지배)	62	21	11		6	-2	-2	
당기순이익(비지배)	16							
자산총계	1,043	1,256	1,361		1,312	1,336	1,361	
부채총계	234	240	349		303	324	349	
자본총계	810	1,015	1,012		1,008	1,012	1,012	
자본총계(지배)	637	805	785		789	788	785	
자본총계(비지배)	173							
자본금	63	63	63		63	63	63	
영업활동현금흐름	76	18	23		12	-58	27	
투자활동현금흐름	-54	16	-86		-73	13	-24	
재무활동현금흐름	-9	-5	17		-44	53	8	
CAPEX	32	53	12		7	1	3	
FCF	43	-35	11		5	-60	25	
이자발생부채	0	0	120		64	115	120	
영업이익률	5.79	3.92	1.91		1.86	0.65	0.42	
순이익률	6.46	2.54	1.66		2.23	0.89	0.13	
ROE(%)	10.25	2.89	1.38		2.07	1.02	1.38	
ROA(%)	7.72	3.61	2.43		3.14	2.44	2.43	
부채비율	28.90	23.66	34.53		30.08	32.02	34.53	
자본유보율	749.32	997.26	997.95		1,003.79	1,000.99	997.95	
EPS(원)	496	165	87		45	-14	-13	
PER(배)	16.68	60.38	77.18		67.25	102.21	77.18	
BPS(원)	5,173	6,539	6,499		6,531	6,518	6,499	
PBR(배)	1.60	1.53	1.04		1.23	1.01	1.04	
현금DPS(원)	0	100						
현금배당수익률	0.00	1.00						
현금배당성향(%)	0.00	49.22	0.00		0.00	0.00	0.00	
발행주식수(보통주)	12,578,946	12,578,946	12,578,946		12,578,946	12,578,946	12,578,946	
