	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	411	559	1,154		296	295	287	
영업이익	-59	27	-20		-2	4	-23	
영업이익(발표기준)	-59	27	-20		-2	4	-23	
세전계속사업이익	-105	-16	-100		-13	-16	-85	
당기순이익	-106	-16	-97		-13	-16	-82	
당기순이익(지배)	-100	-12	-84		-12	-14	-72	
당기순이익(비지배)	-7							
자산총계	614	803	782		865	860	782	
부채총계	288	461	504		527	537	504	
자본총계	326	342	278		338	323	278	
자본총계(지배)	323	343	292		342	327	292	
자본총계(비지배)	3							
자본금	117	124	132		124	124	132	
영업활동현금흐름	28	35	24		31	0	7	
투자활동현금흐름	-102	-168	-40		-3	2	-8	
재무활동현금흐름	48	122	39		-27	-15	21	
CAPEX	18	32	29		13	5	11	
FCF	10	3	-4		19	-5	-4	
이자발생부채	199	341	345		414	400	345	
영업이익률	-14.26	4.84	-1.74		-0.77	1.36	-8.16	
순이익률	-25.87	-2.79	-8.45		-4.56	-5.27	-28.72	
ROE(%)	-30.53	-3.53	-26.37		-10.74	-14.63	-26.37	
ROA(%)	-16.70	-2.20	-12.30		-5.73	-7.40	-12.30	
부채비율	88.48	134.84	181.66		155.64	166.47	181.66	
자본유보율	197.00	191.92	137.21		190.57	178.99	137.21	
EPS(원)	-468	-48	-335		-49	-58	-282	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	1,413	1,408	1,126		1,402	1,344	1,126	
PBR(배)	2.05	1.49	2.10		2.23	1.74	2.10	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	23,312,456	24,791,119	26,404,764		24,791,119	24,791,119	26,404,764	
