	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	32	215	567		172	131	152	
영업이익	-52	-68	-86		-14	-23	-27	
영업이익(발표기준)	-52	-68	-86		-14	-23	-27	
세전계속사업이익	-61	-70	-82		-14	-25	-24	
당기순이익	-61	-73	-86		-13	-25	-31	
당기순이익(지배)	-61	-76	-98		-17	-28	-37	
당기순이익(비지배)								
자산총계	140	751	964		772	948	964	
부채총계	30	236	486		279	443	486	
자본총계	110	515	478		493	505	478	
자본총계(지배)	110	447	394		420	428	394	
자본총계(비지배)								
자본금	29	36	36		36	36	36	
영업활동현금흐름	-38	-60	-94		-56	-16	15	
투자활동현금흐름	-4	-318	-159		-3	-131	-5	
재무활동현금흐름	84	480	253		12	213	1	
CAPEX	5	12	70		-8	26	39	
FCF	-43	-71	-164		-49	-42	-25	
이자발생부채	11	31	273		83	248	273	
영업이익률	-159.91	-31.70	-15.08		-8.42	-17.72	-17.51	
순이익률	-187.96	-33.74	-15.17		-7.61	-18.83	-20.24	
ROE(%)	-99.26	-27.33	-23.31		-17.51	-19.31	-23.31	
ROA(%)	-54.19	-16.29	-10.04		-11.82	-9.29	-10.04	
부채비율	27.23	45.82	101.63		56.63	87.83	101.63	
자본유보율	284.57	1,292.40	1,110.70		1,206.35	1,215.86	1,110.70	
EPS(원)	-223	-233	-271		-47	-79	-102	
PER(배)		N/A	N/A		N/A	N/A	N/A	
BPS(원)	384	1,235	1,090		1,162	1,184	1,090	
PBR(배)	0.00	4.23	4.91		5.00	4.81	4.91	
현금DPS(원)	0							
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	28,545,094	36,172,940	36,172,940		36,172,940	36,172,940	36,172,940	
