	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	8,884	10,107	9,102	5,650	2,140	2,239	1,822	1,345
영업이익	969	630	-488	-1,153	-266	-131	-601	-487
영업이익(발표기준)	969	630	-488		-266	-131	-601	
세전계속사업이익	965	618	-688	-1,359	-320	-253	-535	-525
당기순이익	741	445	-567	-1,087	-244	-181	-459	-500
당기순이익(지배)	741	445	-567	-855	-244	-181	-459	-500
당기순이익(비지배)								
자산총계	4,983	5,195	7,044	6,873	8,079	7,241	7,044	
부채총계	2,665	2,533	5,127	6,093	5,454	4,839	5,127	
자본총계	2,318	2,662	1,917	778	2,624	2,402	1,917	
자본총계(지배)	2,318	2,662	1,917	778	2,624	2,402	1,917	
자본총계(비지배)								
자본금	300	300	300	300	300	300	300	
영업활동현금흐름	1,247	547	646	-504	139	-225	155	
투자활동현금흐름	-1,714	-125	774	262	381	389	355	
재무활동현금흐름	588	-280	-1,364	500	-400	-329	-310	
CAPEX	77	7	5	360	2	0	2	
FCF	1,169	540	640	-483	138	-225	153	
이자발생부채	457	294	2,923		3,290	3,139	2,923	
영업이익률	10.91	6.23	-5.37	-20.41	-12.43	-5.84	-32.98	-36.18
순이익률	8.34	4.40	-6.22	-19.24	-11.40	-8.10	-25.22	-37.19
ROE(%)	47.84		-24.74	-63.44	3.98	-9.95	-24.74	
ROA(%)	18.51		-9.26	-15.62	1.57	-4.16	-9.26	
부채비율	114.96	95.17	267.37	782.93	207.81	201.41	267.37	
자본유보율	673.36	787.65	562.81		774.65	714.29	562.81	
EPS(원)	2,721	1,482	-1,888	-2,850	-813	-604	-1,531	-1,667
PER(배)	9.74	12.99	N/A	N/A	59.88	N/A	N/A	
BPS(원)	7,727	8,873	6,495	2,655	8,748	8,086	6,495	
PBR(배)	3.43	2.17	2.36	3.86	2.41	1.87	2.36	
현금DPS(원)	250	300		86				
현금배당수익률	0.94	1.56		0.84				
현금배당성향(%)	10.12	20.24	0.00	-3.01	0.00	0.00	0.00	
발행주식수(보통주)	30,000,000	30,000,000	30,000,000		30,000,000	30,000,000	30,000,000	
