	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	28	45	21		9	4	4	
영업이익	-35	-41	-146		-39	-38	-42	
영업이익(발표기준)	-35	-41	-146		-39	-38	-42	
세전계속사업이익	-35	-67	-196		-38	-36	-40	
당기순이익	-35	-67	-196		-38	-36	-41	
당기순이익(지배)	-35	-67	-196		-38	-36	-41	
당기순이익(비지배)								
자산총계	84	400	309		379	345	309	
부채총계	28	42	36		39	34	36	
자본총계	56	358	273		340	310	273	
자본총계(지배)	56	358	273		340	310	273	
자본총계(비지배)								
자본금	30	38	39		39	39	39	
영업활동현금흐름	-5	-26	-116		-39	-33	-34	
투자활동현금흐름	-30	-339	89		82	-19	34	
재무활동현금흐름	69	341	30		4	-1	-1	
CAPEX	3	7	6		2	0	0	
FCF	-9	-33	-122		-41	-33	-35	
이자발생부채			2		3	2	2	
영업이익률	-125.47	-90.92	-703.31		-457.09	-906.32	-1,159.65	
순이익률	-126.96	-148.45	-947.58		-442.40	-858.08	-1,140.61	
ROE(%)	-95.94		-62.27				-62.27	
ROA(%)	-66.20		-55.47				-55.47	
부채비율	50.10	11.64	13.10		11.51	11.06	13.10	
자본유보율	74.90	804.69	510.38		712.38	621.58	510.38	
EPS(원)	-600	-1,039	-2,529		-482	-454	-523	
PER(배)		N/A	N/A				N/A	
BPS(원)	948	4,706	3,489		4,349	3,969	3,489	
PBR(배)	0.00	4.76	16.51		8.47	10.51	16.51	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률		0.00	0.00					
현금배당성향(%)	0.00				0.00	0.00		
발행주식수(보통주)	3,698,734	7,612,607	7,820,107		7,820,107	7,820,107	7,820,107	
