	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	63,466	91,583	100,974	111,093	25,679	28,209	23,975	24,118
영업이익	1,169	7,150	4,622	5,983	1,660	201	540	625
영업이익(발표기준)	1,169	7,150	4,622		1,660	201	540	
세전계속사업이익	8,241	10,362	5,646	7,257	3,004	-232	-96	329
당기순이익	6,432	7,450	4,024	5,489	2,174	-331	7	573
당기순이익(지배)	6,572	7,012	3,565	5,129	2,084	-505	-96	370
당기순이익(비지배)	-140							
자산총계	157,417	193,497	198,521	210,188	197,370	198,521	198,869	
부채총계	42,897	71,245	71,918	78,863	69,814	71,918	74,226	
자본총계	114,520	122,252	126,603	131,326	127,556	126,603	124,643	
자본총계(지배)	112,573	119,340	123,249	127,857	124,274	123,249	121,096	
자본총계(비지배)	1,947							
자본금	3,567	3,567	3,567	3,569	3,567	3,567	3,567	
영업활동현금흐름	-2,501	2,606	9,231	12,973	2,081	2,171	3,507	
투자활동현금흐름	893	-17,047	-15,351	-16,429	-3,250	-3,373	-3,941	
재무활동현금흐름	3,534	17,561	2,389	3,356	-2,901	3,171	2,060	
CAPEX	9,915	21,461	18,983	18,178	6,073	3,681	3,949	
FCF	-12,416	-18,855	-9,752	-3,122	-3,991	-1,510	-442	
이자발생부채	14,246	32,537	36,051		34,615	36,051	38,964	
영업이익률	1.84	7.81	4.58	5.39	6.46	0.71	2.25	2.59
순이익률	10.13	8.13	3.98	4.94	8.46	-1.17	0.03	2.38
ROE(%)	5.98	6.05	2.94	4.08	5.47	2.94	2.46	
ROA(%)	4.20	4.25	2.05	2.69	3.68	2.05	1.75	
부채비율	37.46	58.28	56.81	60.05	54.73	56.81	59.55	
자본유보율	2,983.72	3,266.07	3,338.50		3,352.32	3,338.50	3,317.04	
EPS(원)	9,338	9,962	5,066	7,287	2,960	-718	-136	526
PER(배)	21.90	21.98	46.59	46.11	23.73	46.59	57.04	
BPS(원)	168,339	178,459	184,305	191,195	185,837	184,305	181,084	
PBR(배)	1.21	1.23	1.28	1.76	1.20	1.28	1.33	
현금DPS(원)	1,000	1,000	1,000	985	0	1,000		
현금배당수익률	0.49	0.46	0.42	0.29				
현금배당성향(%)	10.19	9.55	18.78	13.20	0.00	-132.46		
발행주식수(보통주)	68,764,530	68,764,530	68,764,530		68,764,530	68,764,530	68,764,530	
