	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	82	81	105		27	27	22	
영업이익	8	-2	31		9	8	3	
영업이익(발표기준)	-68	24	54		34	-16	39	
세전계속사업이익	-171	24	53		33	-16	39	
당기순이익	-171	24	53		33	-16	39	
당기순이익(지배)	-171	24	53		33	-16	39	
당기순이익(비지배)								
자산총계	386	369	364		380	364	377	
부채총계	24	46	70		7	70	60	
자본총계	362	323	293		373	293	317	
자본총계(지배)	362	323	293		373	293	317	
자본총계(비지배)								
자본금	652	652	652		652	652	652	
영업활동현금흐름	30	18	50		14	15	6	
투자활동현금흐름	0							
재무활동현금흐름	-26	-32	-48		-12	-12	-9	
CAPEX								
FCF	30	18	50		14	15	6	
이자발생부채	0	0	0		0	0	0	
영업이익률	9.25	-2.38	29.73		32.16	29.29	15.20	
순이익률	-209.33	29.33	50.28		121.11	-59.80	175.94	
ROE(%)	-39.06	6.93	17.18		20.86	17.18	22.41	
ROA(%)	-35.92	6.29	14.45		20.59	14.45	19.66	
부채비율	6.63	14.39	23.96		1.76	23.96	18.95	
자본유보율	-47.44	-51.95	-55.17		-41.39	-55.17	-49.22	
EPS(원)	-1,313	182	406		253	-122	297	
PER(배)	N/A	15.27	6.92		4.78	6.92	3.95	
BPS(원)	2,774	2,476	2,250		2,861	2,250	2,429	
PBR(배)	0.84	1.12	1.25		0.99	1.25	0.91	
현금DPS(원)	198	244	368		94	94	65	
현금배당수익률	8.50	8.78	13.10		3.44	3.38	2.71	
현금배당성향(%)	-15.23	134.86	90.15		36.96	-76.79	21.96	
발행주식수(보통주)	13,044,500	13,044,500	13,044,500		13,044,500	13,044,500	13,044,500	
