	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	708	739	838		205	205	252	
영업이익	-51	-85	-114		-36	-24	-39	
영업이익(발표기준)	-51	-85	-114		-36	-24	-39	
세전계속사업이익	-90	-145	-164		-44	-17	-123	
당기순이익	-87	-163	-166		-45	-18	-121	
당기순이익(지배)	-87	-156	-153		-45	-16	-110	
당기순이익(비지배)	0							
자산총계	870	1,112	1,198		1,228	1,278	1,198	
부채총계	602	348	442		342	411	442	
자본총계	268	764	756		886	867	756	
자본총계(지배)	255	747	763		880	863	763	
자본총계(비지배)	14							
자본금	76	185	215		211	211	215	
영업활동현금흐름	-40	-93	-77		-50	7	-4	
투자활동현금흐름	-241	-158	-83		-13	-105	-56	
재무활동현금흐름	322	351	81		-1	75	-7	
CAPEX	17	14	6		3	1	1	
FCF	-57	-107	-83		-53	6	-5	
이자발생부채	505	243	211		244	314	211	
영업이익률	-7.25	-11.43	-13.59		-17.62	-11.92	-15.64	
순이익률	-12.35	-22.06	-19.75		-21.86	-8.79	-47.93	
ROE(%)	-29.57	-31.09	-20.27		-24.23	-16.88	-20.27	
ROA(%)	-11.91	-16.46	-14.33		-13.46	-9.85	-14.33	
부채비율	224.05	45.49	58.42		38.53	47.35	58.42	
자본유보율	230.58	301.48	245.45		312.38	301.55	245.45	
EPS(원)	-573	-783	-368		-107	-38	-256	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	1,670	2,020	1,774		2,085	2,045	1,774	
PBR(배)	2.14	2.48	1.23		1.96	1.22	1.23	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	15,249,884	36,959,438	43,010,106		42,197,321	42,197,321	43,010,106	
