	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,426	1,654	2,172	2,429	548	525	602	563
영업이익	74	156	98	92	41	16	22	18
영업이익(발표기준)	74	156	98		41	16	22	
세전계속사업이익	63	-257	97	108	41	18	20	11
당기순이익	51	-282	78	80	37	12	19	20
당기순이익(지배)	51	-284	67	69	32	10	17	6
당기순이익(비지배)								
자산총계	719	1,486	2,314	2,409	2,261	2,154	2,314	
부채총계	582	339	792	810	767	648	792	
자본총계	137	1,147	1,523	1,599	1,494	1,506	1,523	
자본총계(지배)	137	1,099	1,167	1,235	1,141	1,152	1,167	
자본총계(비지배)								
자본금	40	47	47	48	47	47	47	
영업활동현금흐름	123	59	203	235	-107	53	79	
투자활동현금흐름	-35	-191	-888	-237	109	-29	-22	
재무활동현금흐름	168	533	418	85	-7	-138	-1	
CAPEX	48	105	133	90	33	39	39	
FCF	75	-46	69	148	-141	14	40	
이자발생부채	295	9	270		350	221	270	
영업이익률	5.19	9.42	4.53	3.81	7.41	3.14	3.62	3.20
순이익률	3.57	-17.08	3.58	3.31	6.68	2.24	3.08	3.55
ROE(%)		-45.87	5.91	5.76	34.73	9.36	5.91	
ROA(%)		-25.62	4.09	3.40	13.60	6.48	4.09	
부채비율	424.02	29.56	51.99	50.64	51.37	43.01	51.99	
자본유보율	249.98	2,232.77	2,374.03		2,318.06	2,337.86	2,374.03	
EPS(원)	641	-3,149	710	733	342	102	181	64
PER(배)		N/A	72.08	72.26	24.45	58.67	72.08	
BPS(원)	1,728	11,657	12,373	13,100	12,103	12,212	12,373	
PBR(배)	0.00	9.42	4.14	4.05	5.07	5.24	4.14	
현금DPS(원)	0			0				
현금배당수익률				0.00				
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	7,940,614	9,430,597	9,430,597		9,430,597	9,430,597	9,430,597	
