	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	1,005	1,316	1,596	2,771	422	402	569	623
영업이익	9	12	-1	115	0	-8	20	22
영업이익(발표기준)	9	12	-1		0	-8	20	
세전계속사업이익	-10	10	-13	109	-1	-13	21	
당기순이익	-14	10	-15	92	-1	-12	16	23
당기순이익(지배)	-12	9	-16	79	-1	-11	12	11
당기순이익(비지배)	-2							
자산총계	269	284	431	642	432	431	511	
부채총계	194	191	336	456	324	336	400	
자본총계	75	93	95	186	109	95	111	
자본총계(지배)	67	82	83	160	96	83	96	
자본총계(비지배)	8							
자본금	68	71	73	72	73	73	73	
영업활동현금흐름	-1	36	89	222	11	38	90	
투자활동현금흐름	-16	-34	-20	-90	-1	-3	-33	
재무활동현금흐름	18	-13	-51	19	-12	-17	-13	
CAPEX	16	13	18	102	7	3	4	
FCF	-17	23	71	172	4	36	85	
이자발생부채	36	16	114		126	114	111	
영업이익률	0.89	0.89	-0.08	4.14	0.00	-2.10	3.59	3.53
순이익률	-1.39	0.74	-0.93	3.33	-0.34	-2.93	2.80	3.69
ROE(%)	-18.82	12.42	-19.38	64.79	-8.31	-19.38	-7.29	
ROA(%)	-5.03	3.52	-4.14	17.20	-1.80	-4.14	-0.98	
부채비율	258.92	206.78	353.86	244.50	297.68	353.86	360.16	
자본유보율	18.64	34.78	32.64		49.52	32.64	49.61	
EPS(원)	-95	67	-110	540	-10	-73	85	75
PER(배)	N/A	48.06	N/A	22.70	N/A	N/A	N/A	
BPS(원)	495	579	572	1,094	656	572	657	
PBR(배)	4.64	5.57	7.35	11.19	8.78	7.35	10.40	
현금DPS(원)	0			0				
현금배당수익률	0.00			0.00				
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	13,610,573	14,121,555	14,574,555		14,574,555	14,574,555	14,574,555	
