	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1	5	17	240		3	9	
영업이익	-139	-185	-215	-50		-59	-60	
영업이익(발표기준)	-139	-185	-215			-59	-60	
세전계속사업이익	148	-237	-464	-50		-84	-290	
당기순이익	169	-278	-464	-50		-84	-290	
당기순이익(지배)	171	-270	-456	-50		-82	-287	
당기순이익(비지배)								
자산총계	577	345	547	510	339	414	547	
부채총계	993	692	359	370	541	229	359	
자본총계	-417	-347	188	140	-201	185	188	
자본총계(지배)	-423	-348	193	150	-202	187	193	
자본총계(비지배)								
자본금	58	63	79	80	66	79	79	
영업활동현금흐름	-116	-155	-168	-50	-31	-49	-44	
투자활동현금흐름	-13	-158	29	-30	-28	18	-81	
재무활동현금흐름	368	-18	391	10	23	129	182	
CAPEX	12	23	8	20	4	0	1	
FCF	-128	-178	-175	-70	-35	-49	-46	
이자발생부채	443	390	290		407	173	290	
영업이익률	-12,426.92	-3,797.53	-1,261.23	-20.83		-1,871.72	-679.39	
순이익률	15,071.32	-5,698.94	-2,722.49	-20.83		-2,687.72	-3,294.83	
ROE(%)	-140.08	70.19	588.12	-29.17				
ROA(%)	36.03	-60.36	-104.10	-9.46				
부채비율	-238.46	-199.61	191.28	264.29	-268.67	123.48	191.28	
자본유보율	-836.23	-654.23	129.26		-412.18	130.44	129.26	
EPS(원)	1,487	-2,248	-3,307	-313		-604	-1,809	
PER(배)			N/A	N/A				
BPS(원)	-3,675	-2,765	1,214	939	-1,533	1,186	1,214	
PBR(배)	0.00	0.00	19.36	13.84	0.00	15.68	19.36	
현금DPS(원)	0	0		0	0	0		
현금배당수익률				0.00				
현금배당성향(%)	0.00	0.00	0.00			0.00	0.00	
발행주식수(보통주)	11,504,727	12,585,618	15,886,145		13,154,738	15,778,003	15,886,145	
