	2018/12	2019/03	2019/09	2020/09	2019/06	2019/09	2019/12	2020/03
매출액		213	223		111	112	115	
영업이익		120	109		56	53	72	
영업이익(발표기준)		120	109		56	53	72	
세전계속사업이익		51	30		17	13	32	
당기순이익		51	30		17	13	32	
당기순이익(지배)		51	30		17	13	32	
당기순이익(비지배)								
자산총계		7,431	7,397		7,366	7,397	7,318	
부채총계		4,594	4,611		4,593	4,611	4,583	
자본총계		2,837	2,786		2,773	2,786	2,735	
자본총계(지배)		2,837	2,786		2,773	2,786	2,735	
자본총계(비지배)								
자본금		516	516		516	516	516	
영업활동현금흐름		140	74		30	44	14	
투자활동현금흐름		-1,680	37		50	-13	46	
재무활동현금흐름		1,377	-82		-82		-83	
CAPEX								
FCF		140	74		30	44	14	
이자발생부채		4,321	4,327		4,324	4,327	0	
영업이익률		56.36	48.78		50.14	47.42	63.26	
순이익률		23.85	13.53		15.68	11.39	28.18	
ROE(%)		1.97	1.07				4.48	
ROA(%)		0.68	0.41				1.52	
부채비율		161.90	165.53		165.63	165.53	167.59	
자본유보율		449.93	439.94		437.48	439.94	430.07	
EPS(원)	21	103	58		33	24	62	
PER(배)	268.35	57.05	137.65				34.15	
BPS(원)		5,433	5,334		5,310	5,334	5,237	
PBR(배)		1.08	1.49		1.27	1.49	1.44	
현금DPS(원)	112	135	138		0	138	0	
현금배당수익률	2.01	2.31	1.74			1.75		
현금배당성향(%)	653.11	160.98	275.89		0.00	653.71	0.00	
발행주식수(보통주)	39,447,983	48,223,344	48,223,344		48,223,344	48,223,344	48,223,344	
