	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	9,678	10,161	9,449		2,295	2,334	2,508	
영업이익	101	125	113		52	33	5	
영업이익(발표기준)	101	125	113		52	33	5	
세전계속사업이익	99	161	99		51	33	-8	
당기순이익	74	114	75		42	26	-9	
당기순이익(지배)	71	113	74		40	25	-8	
당기순이익(비지배)	3							
자산총계	3,483	3,503	3,781		3,641	3,473	3,781	
부채총계	1,888	1,886	2,140		2,049	1,851	2,140	
자본총계	1,596	1,617	1,641		1,592	1,622	1,641	
자본총계(지배)	1,541	1,562	1,586		1,536	1,566	1,586	
자본총계(비지배)	54							
자본금	238	238	238		238	238	238	
영업활동현금흐름	139	127	250		38	126	139	
투자활동현금흐름	-50	-28	-152		-25	-20	-34	
재무활동현금흐름	-37	-34	-181		-73	-36	-38	
CAPEX	12	18	30		4	6	1	
FCF	127	109	220		34	120	139	
이자발생부채	2	1	1		1	1	1	
영업이익률	1.05	1.23	1.20		2.28	1.41	0.22	
순이익률	0.76	1.12	0.80		1.82	1.10	-0.34	
ROE(%)	4.67	7.30	4.72		6.22	6.73	4.72	
ROA(%)	2.20	3.26	2.07		2.96	3.48	2.07	
부채비율	118.30	116.60	130.38		128.74	114.09	130.38	
자본유보율	558.15	567.45	576.94		555.74	568.06	576.94	
EPS(원)	167	265	174		94	58	-19	
PER(배)	13.61	9.36	12.98		9.98	8.14	12.98	
BPS(원)	3,686	3,737	3,792		3,674	3,746	3,792	
PBR(배)	0.62	0.66	0.60		0.61	0.54	0.60	
현금DPS(원)	80	90	80		0	0	80	
현금배당수익률	3.52	3.62	3.54					
현금배당성향(%)	47.00	33.22	45.01		0.00	0.00	-412.11	
발행주식수(보통주)	42,685,000	42,685,000	42,685,000		42,685,000	42,685,000	42,685,000	
