	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	26,535	27,678	25,398	28,887	6,390	6,366	6,601	6,906
영업이익	1,757	2,011	1,551	2,018	482	405	301	373
영업이익(발표기준)	1,757	2,011	1,551		482	405	301	
세전계속사업이익	1,807	1,821	733	2,672	237	307	-74	1,628
당기순이익	1,363	1,410	674	1,907	150	226	68	1,455
당기순이익(지배)	1,100	1,206	597	1,628	133	216	57	1,050
당기순이익(비지배)	263							
자산총계	36,673	38,331	39,730	47,824	40,418	40,552	39,730	
부채총계	20,737	21,383	22,466	27,544	23,333	23,180	22,466	
자본총계	15,936	16,948	17,264	20,280	17,085	17,372	17,264	
자본총계(지배)	14,500	15,327	15,593	17,653	15,430	15,706	15,593	
자본총계(비지배)	1,436							
자본금	1,877	1,877	1,877	1,878	1,877	1,877	1,877	
영업활동현금흐름	2,093	2,316	405	3,152	891	373	-477	
투자활동현금흐름	-1,757	-2,128	-2,727	-6,370	-755	-750	-730	
재무활동현금흐름	380	-348	1,505	4,278	-372	-121	455	
CAPEX	1,203	1,847	2,547	5,056	653	828	610	
FCF	891	469	-2,141	-1,892	238	-455	-1,086	
이자발생부채	14,146	14,573	16,854		16,517	16,531	16,854	
영업이익률	6.62	7.27	6.11	6.99	7.55	6.37	4.56	5.39
순이익률	5.14	5.10	2.65	6.60	2.35	3.56	1.03	21.07
ROE(%)	7.70	8.09	3.86	9.80	4.80	3.52	3.86	
ROA(%)	3.79	3.76	1.73	4.36	2.29	1.75	1.73	
부채비율	130.13	126.17	130.13	135.82	136.58	133.43	130.13	
자본유보율	734.66	780.98	794.35		779.35	790.90	794.35	
EPS(원)	2,931	3,213	1,591	4,338	354	576	152	2,797
PER(배)	16.03	11.14	32.06	12.15	20.40	27.32	32.06	
BPS(원)	40,937	43,272	44,022	49,839	43,563	44,343	44,022	
PBR(배)	1.15	0.83	1.16	1.06	0.91	0.90	1.16	
현금DPS(원)	900	1,000	1,000	1,013	0	0	1,000	
현금배당수익률	1.91	2.79	1.96	1.92				
현금배당성향(%)	28.97	29.37	59.32	23.36	0.00	0.00	620.76	
발행주식수(보통주)	37,534,555	37,534,555	37,534,555		37,534,555	37,534,555	37,534,555	
