	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	11,384	3,088	1,672		281	271	661	
영업이익	2,117	82	-66		-48	-36	14	
영업이익(발표기준)	2,117	82	-66		-48	-36	14	
세전계속사업이익	1,902	302	33		-15	33	-37	
당기순이익	1,495	177	2		-14	26	-49	
당기순이익(지배)	1,496	198	37		3	31	-41	
당기순이익(비지배)	-1							
자산총계	4,452	3,928	4,510		4,258	4,550	4,510	
부채총계	1,178	489	1,091		816	1,082	1,091	
자본총계	3,274	3,438	3,419		3,441	3,467	3,419	
자본총계(지배)	3,280	3,347	3,341		3,350	3,395	3,341	
자본총계(비지배)	-6							
자본금	182	185	185		185	185	185	
영업활동현금흐름	1,740	-276	-167		-130	4	87	
투자활동현금흐름	-1	-86	-673		-146	-175	-317	
재무활동현금흐름	-405	-25	253		-60	-28	-8	
CAPEX	103	149	560		37	130	368	
FCF	1,637	-425	-727		-167	-126	-280	
이자발생부채	163	134	434		449	432	434	
영업이익률	18.60	2.66	-3.93		-16.92	-13.32	2.11	
순이익률	13.13	5.73	0.13		-5.15	9.57	-7.37	
ROE(%)	57.85	5.96	1.09		0.40	-0.01	1.09	
ROA(%)	32.64	4.22	0.05		-0.63	-1.09	0.05	
부채비율	35.97	14.24	31.93		23.72	31.21	31.93	
자본유보율	1,733.60	1,877.70	1,874.08		1,879.39	1,896.20	1,874.08	
EPS(원)	4,065	537	99		8	84	-111	
PER(배)	7.01	14.29	100.45		246.13	N/A	100.45	
BPS(원)	8,961	9,616	9,597		9,625	9,755	9,597	
PBR(배)	3.18	0.80	1.04		0.97	0.87	1.04	
현금DPS(원)	0	150	100		0	0	100	
현금배당수익률	0.00	1.96	1.00					
현금배당성향(%)	0.00	26.43	95.12		0.00	0.00	-85.09	
발행주식수(보통주)	36,796,254	36,796,254	36,796,254		36,796,254	36,796,254	36,796,254	
