	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	3,976	4,844	5,414		1,315	1,307	1,426	
영업이익	1,219	1,758	1,824		462	442	437	
영업이익(발표기준)	1,219	1,758	1,824		462	442	437	
세전계속사업이익	1,189	1,810	1,635		407	456	290	
당기순이익	1,002	1,366	1,204		275	340	209	
당기순이익(지배)	1,002	1,366	1,261		294	355	233	
당기순이익(비지배)								
자산총계	20,437	28,428	36,272		32,561	34,049	36,272	
부채총계	17,494	24,111	30,085		26,868	28,059	30,085	
자본총계	2,942	4,317	6,187		5,693	5,990	6,187	
자본총계(지배)	2,942	4,261	5,257		4,796	5,092	5,257	
자본총계(비지배)								
자본금	477	477	572		477	572	572	
영업활동현금흐름	-5,244	831	6,572		373	-582	5,512	
투자활동현금흐름	-180	-1,105	148		-65	-251	-548	
재무활동현금흐름	4,949	864	-2,085		-2,200	870	-717	
CAPEX	9	363	312		93	76	50	
FCF	-5,253	467	6,260		280	-659	5,462	
이자발생부채	10	1,002	2,859		4,088	3,483	2,859	
영업이익률	30.65	36.29	33.69		35.10	33.77	30.66	
순이익률	25.20	28.20	22.24		20.93	26.02	14.63	
ROE(%)	40.99	37.93	26.51		32.21	31.01	26.51	
ROA(%)	5.76	5.59	3.72		4.57	4.48	3.72	
부채비율	594.55	558.55	486.29		471.94	468.47	486.29	
자본유보율	529.62	819.91	847.96		934.64	807.89	847.96	
EPS(원)	1,776	2,377	2,254		526	639	421	
PER(배)	5.73	6.24	3.85		7.87	5.21	3.85	
BPS(원)	5,227	7,593	9,606		8,668	9,298	9,606	
PBR(배)	1.95	1.95	0.90		2.15	1.38	0.90	
현금DPS(원)	0	0	200		0	0	200	
현금배당수익률	0.00	0.00	2.31					
현금배당성향(%)	0.00	0.00	8.68		0.00	0.00	46.94	
발행주식수(보통주)	57,459,550	57,459,550	55,328,313		55,848,313	55,328,313	55,328,313	
