	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	6,079	6,512	6,313	6,270	1,447	1,539	1,472	1,670
영업이익	447	1,022	494	200	73	52	36	50
영업이익(발표기준)	447	1,022	494		73	52	36	
세전계속사업이익	488	936	245	80	30	-115	-17	30
당기순이익	365	698	104	50	17	-159	-23	
당기순이익(지배)	365	698	101	50	23	-159	-22	20
당기순이익(비지배)	0							
자산총계	11,024	13,560	13,503	13,500	13,158	13,503	13,443	
부채총계	5,392	7,216	7,298	7,360	6,801	7,298	7,376	
자본총계	5,632	6,344	6,206	6,140	6,357	6,206	6,066	
자본총계(지배)	5,631	6,168	6,138	6,070	6,286	6,138	6,001	
자본총계(비지배)	1							
자본금	1,559	1,559	1,559	1,560	1,559	1,559	1,559	
영업활동현금흐름	1,051	1,022	522	390	117	71	154	
투자활동현금흐름	-309	-687	-570	-500	-16	-372	-46	
재무활동현금흐름	-463	-292	-24	-110	-542	380	52	
CAPEX	260	241	377	480	39	124	46	
FCF	792	781	145		78	-53	108	
이자발생부채	3,786	5,107	5,434		5,029	5,434	5,518	
영업이익률	7.36	15.70	7.83	3.19	5.08	3.39	2.47	2.99
순이익률	6.00	10.71	1.64	0.80	1.16	-10.32	-1.54	
ROE(%)	6.65	11.83	1.64	0.82	6.55	1.64	-0.63	
ROA(%)	3.32	5.68	0.77	0.37	3.31	0.77	-0.33	
부채비율	95.73	113.75	117.60	119.87	106.99	117.60	121.60	
자본유보율	261.07	297.11	294.04		303.75	294.04	285.64	
EPS(원)	585	1,119	162	80	36	-255	-35	32
PER(배)	7.75	5.42	26.08	37.30	6.90	26.08	N/A	
BPS(원)	9,029	9,890	9,842	9,733	10,079	9,842	9,623	
PBR(배)	0.50	0.61	0.43	0.31	0.44	0.43	0.30	
현금DPS(원)	150	250	175	175	0	175		
현금배당수익률	3.31	4.13	4.14	5.85				
현금배당성향(%)	25.64	22.34	108.01	218.29	0.00	-68.70		
발행주식수(보통주)	62,368,324	62,368,324	62,368,324		62,368,324	62,368,324	62,368,324	
