	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	3,132	3,163	3,237		731	964	792	
영업이익	136	126	175		36	51	51	
영업이익(발표기준)	136	126	175		36	51	51	
세전계속사업이익	162	137	244		48	55	17	
당기순이익	125	94	177		35	40	12	
당기순이익(지배)	125	94	177		35	40	12	
당기순이익(비지배)								
자산총계	2,808	2,731	2,954		2,998	2,954	2,933	
부채총계	329	321	374		427	374	390	
자본총계	2,479	2,410	2,579		2,570	2,579	2,543	
자본총계(지배)	2,479	2,410	2,579		2,570	2,579	2,543	
자본총계(비지배)								
자본금	87	87	87		87	87	87	
영업활동현금흐름	-45	121	65		42	22	110	
투자활동현금흐름	149	5	42		-97	139	-160	
재무활동현금흐름	-94	-68	-88		-75	-13	-10	
CAPEX	47	91	80		60	20	5	
FCF	-91	30	-15		-18	2	105	
이자발생부채	0	19	22		1	22	21	
영업이익률	4.34	3.98	5.40		4.91	5.27	6.44	
순이익률	3.98	2.99	5.48		4.82	4.14	1.58	
ROE(%)	5.07	3.86						
ROA(%)	4.45	3.41						
부채비율	13.28	13.33	14.51		16.62	14.51	15.32	
자본유보율	2,812.42	2,804.25	3,069.75		3,023.78	3,069.75	3,038.27	
EPS(원)	7,171	5,428	10,189		2,026	2,293	718	
PER(배)	11.97	14.09	7.79					
BPS(원)	149,413	151,975	168,403		166,345	168,403	167,589	
PBR(배)	0.57	0.50	0.47		0.46	0.47	0.30	
현금DPS(원)	1,700	1,600	2,000		0	2,000		
현금배당수익률	1.98	2.09	2.52					
현금배당성향(%)	22.61	26.87	17.28		0.00	76.80		
발행주식수(보통주)	1,739,672	1,739,672	1,739,672		1,739,672	1,739,672	1,739,672	
