		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			0				0	
영업이익			0				0	
영업이익(발표기준)			0				0	
세전계속사업이익			0				0	
당기순이익			0				0	
당기순이익(지배)			0				0	
당기순이익(비지배)								
자산총계			113				113	
부채총계			7				7	
자본총계			106				106	
자본총계(지배)			106				106	
자본총계(비지배)								
자본금			6				6	
영업활동현금흐름			0				0	
투자활동현금흐름			-100				0	
재무활동현금흐름			113				0	
CAPEX								
FCF								
이자발생부채			6				6	
영업이익률								
순이익률								
ROE(%)								
ROA(%)								
부채비율			6.58				6.58	
자본유보율			1,792.83				1,792.83	
EPS(원)			-69					
PER(배)			N/A					
BPS(원)			1,893				1,893	
PBR(배)			1.06				1.06	
현금DPS(원)						0		
현금배당수익률								
현금배당성향(%)								
발행주식수(보통주)			5,610,000			610,000	5,610,000	
