	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2,519	2,643	2,708		670	692	855	
영업이익	24	34	-58		21	-58	-7	
영업이익(발표기준)	24	34	-58		21	-58	-7	
세전계속사업이익	-27	49	-169		-1	-111	-43	
당기순이익	-50	2	-207		-4	-110	-75	
당기순이익(지배)	-10	-11	-20		9	-35	16	
당기순이익(비지배)	-40							
자산총계	2,117	2,254	1,539		2,303	2,101	1,539	
부채총계	1,167	1,253	896		1,315	1,219	896	
자본총계	950	1,002	643		989	882	643	
자본총계(지배)	667	661	651		659	626	651	
자본총계(비지배)	283							
자본금	97	97	100		98	98	100	
영업활동현금흐름	40	-193	263		188	17	63	
투자활동현금흐름	-99	-147	-23		-55	-18	82	
재무활동현금흐름	80	281	-96		-75	12	-32	
CAPEX	18	43	60		39	13	7	
FCF	22	-236	204		148	4	57	
이자발생부채	204	371	67		341	333	67	
영업이익률	0.94	1.30	-2.13		3.08	-8.42	-0.85	
순이익률	-1.98	0.09	-7.64		-0.64	-15.90	-8.73	
ROE(%)	-1.53	-1.59	-2.99		17.34	9.80	-2.99	
ROA(%)	-2.50	0.11	-10.91		4.85	-0.25	-10.91	
부채비율	122.80	125.06	139.32		132.97	138.13	139.32	
자본유보율	571.98	604.24	585.66		602.76	567.18	585.66	
EPS(원)	-54	-55	-101		47	-181	79	
PER(배)	N/A	N/A	N/A		4.64	6.54	N/A	
BPS(원)	3,447	3,412	3,257		3,381	3,208	3,257	
PBR(배)	0.92	0.54	0.59		0.74	0.62	0.59	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	19,362,573	19,362,573	19,980,102		19,502,015	19,502,015	19,980,102	
