	2017/06	2018/06	2019/06	2020/06	2019/09	2019/12	2020/03	2020/06
매출액	2,330	2,295	1,907		404	522	265	
영업이익	-95	-220	-262		-34	13	-31	
영업이익(발표기준)	-95	-220	-262		-34	13	-31	
세전계속사업이익	-4	-131	-165		-16	86	-15	
당기순이익	-22	-144	-184		-14	75	-16	
당기순이익(지배)	27	-65	-84		-5	67	-7	
당기순이익(비지배)	-49	-79						
자산총계	6,346	6,640	6,195		5,987	6,131	6,192	
부채총계	827	1,256	1,076		876	997	975	
자본총계	5,518	5,383	5,118		5,111	5,135	5,218	
자본총계(지배)	4,295	4,228	4,073		4,071	4,104	4,157	
자본총계(비지배)	1,223	1,155						
자본금	50	50	50		50	50	50	
영업활동현금흐름	376	-45	461		-24	121	73	
투자활동현금흐름	-453	-501	-694		169	-96	46	
재무활동현금흐름	-10	80	56		-157	-1	-3	
CAPEX	447	220	299		58	52	66	
FCF	-71	-264	162		-81	70	7	
이자발생부채		91	156		4	3	2	
영업이익률	-4.08	-9.58	-13.71		-8.38	2.54	-11.65	
순이익률	-0.94	-6.28	-9.63		-3.36	14.34	-6.17	
ROE(%)	0.63	-1.52	-2.02		-0.70	1.72	0.54	
ROA(%)	-0.34	-2.22	-2.86		-1.68	0.62	-0.51	
부채비율	14.99	23.34	21.03		17.13	19.41	18.68	
자본유보율	8,351.69	8,213.37	8,005.85		7,989.96	8,124.23	8,109.64	
EPS(원)	275	-650	-837		-54	671	-73	
PER(배)	68.58	N/A	N/A		N/A	11.63	36.10	
BPS(원)	42,950	42,284	40,731		40,712	41,039	41,567	
PBR(배)	0.44	0.26	0.21		0.20	0.20	0.19	
현금DPS(원)	100	100	25					
현금배당수익률	0.53	0.92	0.29					
현금배당성향(%)	36.38	-15.39	-2.99		0.00			
발행주식수(보통주)	10,000,000	10,000,000	10,000,000		10,000,000	10,000,000	10,000,000	
