	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	6,713	5,760	5,955	5,808	1,596	1,454	1,611	1,262
영업이익	744	7	481	599	210	140	198	-24
영업이익(발표기준)	744	7	481		210	140	198	
세전계속사업이익	449	-99	267	418	150	81	164	-84
당기순이익	363	-43	186	312	135	61	110	
당기순이익(지배)	363	-43	186	313	135	61	110	-64
당기순이익(비지배)								
자산총계	12,653	13,068	13,470	13,592	13,499	13,277	13,470	
부채총계	6,330	6,858	7,118	7,004	7,276	6,994	7,118	
자본총계	6,323	6,210	6,352	6,588	6,223	6,283	6,352	
자본총계(지배)	6,323	6,209	6,351	6,529	6,222	6,282	6,351	
자본총계(비지배)								
자본금	537	537	537	537	537	537	537	
영업활동현금흐름	906	522	664	1,064	195	313	295	
투자활동현금흐름	-704	-698	-445	-464	-137	-123	-27	
재무활동현금흐름	-488	602	-376	-270	139	-297	-96	
CAPEX	990	708	482	467	137	130	53	
FCF	-84	-186	182	448	58	183	242	
이자발생부채	4,471	5,013	5,187		5,595	5,307	5,187	
영업이익률	11.08	0.13	8.07	10.31	13.14	9.65	12.27	-1.90
순이익률	5.41	-0.76	3.12	5.38	8.46	4.21	6.83	
ROE(%)	5.91	-0.69	2.96	4.86	-0.18	3.06	2.96	
ROA(%)	2.87	-0.34	1.40	2.31	-0.09	1.47	1.40	
부채비율	100.11	110.43	112.05	106.32	116.93	111.31	112.05	
자본유보율	1,083.10	1,068.82	1,094.95		1,071.15	1,082.42	1,094.95	
EPS(원)	338	-40	173	292	126	57	103	-60
PER(배)	9.13	N/A	21.90	12.00	N/A	20.33	21.90	
BPS(원)	5,890	5,784	5,916	6,082	5,795	5,852	5,916	
PBR(배)	0.52	0.74	0.64	0.58	0.66	0.61	0.64	
현금DPS(원)	50	0	50	50	0	0	50	
현금배당수익률	1.62	0.00	1.32	1.43				
현금배당성향(%)	14.79	0.00	28.89	17.15	0.00	0.00	48.73	
발행주식수(보통주)	107,357,173	107,357,173	107,357,173		107,357,173	107,357,173	107,357,173	
