	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	865	1,845	869	1,839	190	140	119	
영업이익	178	442	125	390	16	3	-11	
영업이익(발표기준)	178	442	125		16	3	-11	
세전계속사업이익	183	465	194	252	51	-9	13	
당기순이익	162	360	163	195	47	1	11	
당기순이익(지배)	162	360	163	332	47	1	11	
당기순이익(비지배)								
자산총계	1,262	2,366	2,140	2,585	2,244	2,140	2,060	
부채총계	195	962	634	906	741	634	562	
자본총계	1,067	1,403	1,506	1,679	1,503	1,506	1,498	
자본총계(지배)	1,067	1,403	1,506	1,679	1,503	1,506	1,498	
자본총계(비지배)								
자본금	65	66	66	66	66	66	66	
영업활동현금흐름	121	319	301	235	112	-90	-34	
투자활동현금흐름	-552	-337	-248	-120	-112	83	25	
재무활동현금흐름	304	-29	-55	-20	-5	-2	-1	
CAPEX	33	108	172	78	28	42	3	
FCF	88	211	129	116	84	-132	-36	
이자발생부채	4	0	20		22	20	19	
영업이익률	20.51	23.96	14.45	21.21	8.49	2.09	-9.48	
순이익률	18.77	19.53	18.79	10.60	24.91	0.75	9.02	
ROE(%)		29.17	11.22	20.88	21.31	11.22	7.46	
ROA(%)		19.86	7.24	8.25	13.51	7.24	4.50	
부채비율	18.26	68.57	42.07	53.96	49.34	42.07	37.54	
자본유보율	1,535.74	2,076.53	2,226.49		2,224.89	2,226.49	2,213.09	
EPS(원)	1,390	2,775	1,250	2,546	363	8	82	
PER(배)	19.61	5.62	15.72	5.62	11.69	15.72	11.91	
BPS(원)	8,250	10,849	11,593	12,922	11,565	11,593	11,526	
PBR(배)	3.30	1.44	1.70	1.11	2.31	1.70	0.86	
현금DPS(원)	0	500	150	150	0	150		
현금배당수익률	0.00	3.21	0.76	1.05				
현금배당성향(%)	0.00	17.95	11.94	5.89	0.00	1,857.37		
발행주식수(보통주)	12,930,000	13,058,000	13,058,000		13,058,000	13,058,000	13,058,000	
