	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	625	692	698		159	142	224	
영업이익	265	293	321		68	29	126	
영업이익(발표기준)	265	293	321		68	29	126	
세전계속사업이익	271	319	340		71	29	133	
당기순이익	209	244	246		49	22	93	
당기순이익(지배)	209	244	246		49	22	93	
당기순이익(비지배)								
자산총계	10,291	10,481	9,954		10,334	10,136	9,954	
부채총계	7,979	8,005	7,300		7,800	7,580	7,300	
자본총계	2,312	2,476	2,654		2,534	2,556	2,654	
자본총계(지배)	2,312	2,476	2,654		2,534	2,556	2,654	
자본총계(비지배)								
자본금	151	151	151		151	151	151	
영업활동현금흐름	190	33	110		80	-4	11	
투자활동현금흐름	-137	32	-36		-10	6	-9	
재무활동현금흐름	-61	-67	-73		-69	-1	-1	
CAPEX	2	2	0		0	0	0	
FCF								
이자발생부채	0	0	0		0	0	0	
영업이익률	42.36	42.28	46.05		42.86	20.50	56.41	
순이익률	33.46	35.22	35.26		30.92	15.72	41.45	
ROE(%)	9.35	10.18	9.59		9.21	6.95	9.59	
ROA(%)	2.00	2.35	2.41		2.22	1.71	2.41	
부채비율	345.05	323.30	275.10		307.77	296.55	275.10	
자본유보율	1,483.77	1,591.81	1,708.94		1,630.38	1,644.82	1,708.94	
EPS(원)	1,386	1,616	1,631		326	148	615	
PER(배)	5.19	4.83	4.80		5.81	7.03	4.80	
BPS(원)	18,924	20,207	21,602		20,682	20,860	21,602	
PBR(배)	0.38	0.39	0.36		0.42	0.39	0.36	
현금DPS(원)	550	550	550		0	0	550	
현금배당수익률	7.64	7.05	7.02					
현금배당성향(%)	32.14	27.66	27.46		0.00	0.00	72.79	
발행주식수(보통주)	15,082,800	15,082,800	15,082,800		15,082,800	15,082,800	15,082,800	
