	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2,727	2,640	2,591	2,180	677	684	612	
영업이익	417	414	309	320	98	100	16	
영업이익(발표기준)	417	414	309		98	100	16	
세전계속사업이익	440	444	298	330	103	119	-25	
당기순이익	420	438	266	310	88	112	-28	
당기순이익(지배)	420	437	258	300	85	110	-30	
당기순이익(비지배)								
자산총계	3,153	3,633	4,500	3,980	4,412	4,560	4,500	
부채총계	1,269	1,540	2,022	1,380	2,186	2,222	2,022	
자본총계	1,884	2,093	2,478	2,600	2,226	2,338	2,478	
자본총계(지배)	1,884	2,051	2,428	2,560	2,179	2,290	2,428	
자본총계(비지배)								
자본금	241	241	241	240	241	241	241	
영업활동현금흐름	571	-350	585	430	44	67	163	
투자활동현금흐름	-152	-480	-939	-100	-113	-404	-168	
재무활동현금흐름	-240	455	393	0	65	344	-191	
CAPEX	191	540	950	100	111	404	182	
FCF	381	-891	-365	330	-67	-336	-19	
이자발생부채	150	605	1,006		849	1,193	1,006	
영업이익률	15.29	15.68	11.95	14.68	14.51	14.56	2.55	
순이익률	15.41	16.58	10.25	14.22	13.03	16.35	-4.64	
ROE(%)	25.00	22.21	11.50	12.03	18.30	19.44	11.50	
ROA(%)	13.07	12.91	6.53	7.31	10.50	10.95	6.53	
부채비율	67.35	73.55	81.59	53.08	98.20	95.02	81.59	
자본유보율	633.40	713.16	798.80		766.14	811.80	798.80	
EPS(원)	871	906	534	622	176	229	-61	
PER(배)	15.62	7.12	15.17	9.26	8.30	8.12	15.17	
BPS(원)	3,904	4,250	5,033	5,306	4,516	4,746	5,033	
PBR(배)	3.48	1.52	1.61	1.09	1.48	1.52	1.61	
현금DPS(원)	100	100	70	100	0	0	70	
현금배당수익률	0.74	1.55	0.86	1.74				
현금배당성향(%)	11.48	11.04	13.11	16.08	0.00	0.00	-113.93	
발행주식수(보통주)	48,249,212	48,249,212	48,249,212		48,249,212	48,249,212	48,249,212	
