		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			2,212	4,737			2,212	174
영업이익			195	253			195	-46
영업이익(발표기준)			195				195	
세전계속사업이익			160	209			160	-58
당기순이익			119	165			119	-36
당기순이익(지배)			119	164			119	-36
당기순이익(비지배)								
자산총계			4,958	6,631			4,958	
부채총계			3,290	4,266			3,290	
자본총계			1,668	2,365			1,668	
자본총계(지배)			1,668	2,365			1,668	
자본총계(비지배)								
자본금			72	71			72	
영업활동현금흐름			1,217	-547			1,217	
투자활동현금흐름			-228	-394			-228	
재무활동현금흐름			4	499			4	
CAPEX			2	183			2	
FCF			1,215	-1,075			1,215	
이자발생부채			1,011				1,011	
영업이익률			8.81	5.35			8.81	-26.44
순이익률			5.37	3.49			5.37	-20.40
ROE(%)				8.13				
ROA(%)				2.85				
부채비율			197.27	180.41			197.27	
자본유보율			2,215.15				2,215.15	
EPS(원)			656	228			165	-49
PER(배)			13.35	51.04				
BPS(원)			2,321	3,291			2,321	
PBR(배)			3.77	3.54			3.77	
현금DPS(원)				0				
현금배당수익률				0.00				
현금배당성향(%)								
발행주식수(보통주)			55,493,726				55,493,726	
