	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2,865	1,633	2,630		626	1,145	871	
영업이익	38	-30	-3		-3	-23	20	
영업이익(발표기준)	38	-30	-3		-3	-23	20	
세전계속사업이익	-33	-25	-367		-4	-12	-360	
당기순이익	-82	-139	-343		-6	-16	-331	
당기순이익(지배)	-82	-139	-344		-6	-16	-331	
당기순이익(비지배)	0							
자산총계	2,598	2,053	1,999		2,383	2,086	1,999	
부채총계	1,206	802	1,092		1,138	854	1,092	
자본총계	1,392	1,251	906		1,246	1,232	906	
자본총계(지배)	1,391	1,244	900		1,240	1,226	900	
자본총계(비지배)	0							
자본금	59	59	59		59	59	59	
영업활동현금흐름	-158	143	-65		-184	197	-62	
투자활동현금흐름	18	-22	-85		-15	-2	-68	
재무활동현금흐름	-2	-159	70		202	-200	45	
CAPEX	110	25	29		-7	23	6	
FCF	-268	118	-95		-177	174	-68	
이자발생부채	527	377	460		612	414	460	
영업이익률	1.31	-1.82	-0.12		-0.53	-1.99	2.26	
순이익률	-2.88	-8.52	-13.06		-1.01	-1.42	-38.00	
ROE(%)	-5.77	-10.55	-32.05		-1.56	-0.98	-32.64	
ROA(%)	-3.25	-5.98	-16.95		-0.82	-0.55	-17.27	
부채비율	86.67	64.14	120.51		91.32	69.30	120.51	
자본유보율	2,352.66	2,107.32	1,525.76		2,103.11	2,086.11	1,525.76	
EPS(원)	-697	-1,176	-2,905		-54	-139	-2,799	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	11,762	10,520	7,609		10,479	10,363	7,609	
PBR(배)	0.49	0.42	0.52		0.52	0.45	0.52	
현금DPS(원)	0	0	80		0	0	80	
현금배당수익률	0.00	0.00	2.01					
현금배당성향(%)	0.00	0.00	-2.75		0.00	0.00	-2.86	
발행주식수(보통주)	11,828,858	11,828,858	11,828,858		11,828,858	11,828,858	11,828,858	
