	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	737	945	1,152		207	443		
영업이익	19	22	-22		-16	14		
영업이익(발표기준)	19	22	-22		-16	14		
세전계속사업이익	-49	531	-9		-153	140		
당기순이익	-36	414	-2		-121	114		
당기순이익(지배)	-46	402	1		-115	108		
당기순이익(비지배)	10							
자산총계	1,635	2,312	2,414		2,301	2,414		
부채총계	476	709	830		826	830		
자본총계	1,159	1,603	1,584		1,475	1,584		
자본총계(지배)	892	1,273	1,220		1,125	1,220		
자본총계(비지배)	267							
자본금	48	96	96		96	96		
영업활동현금흐름	119	28	88		52	14		
투자활동현금흐름	-319	-112	-37		-55	23		
재무활동현금흐름	206	73	43		15	38		
CAPEX	114	109	193		48	56		
FCF	4	-80	-105		5	-42		
이자발생부채	233	349	400		407	400		
영업이익률	2.57	2.35	-1.90		-7.73	3.08		
순이익률	-4.85	43.85	-0.21		-58.55	25.64		
ROE(%)	-5.40	37.11	0.07		8.77	0.07		
ROA(%)	-2.31	21.00	-0.10		3.90	-0.10		
부채비율	41.06	44.25	52.39		56.05	52.39		
자본유보율	1,843.42	1,289.47	1,289.39		1,177.16	1,289.39		
EPS(원)	-245	2,093	5		-600	561		
PER(배)	N/A	16.29	5,634.67		44.30	5,634.69		
BPS(원)	4,647	6,632	6,422		5,919	6,422		
PBR(배)	5.14	5.14	3.96		3.79	3.96		
현금DPS(원)	0	0						
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	19,191,510	19,191,510	19,207,010		19,207,010	19,207,010	19,207,010	
