	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	919	910	1,272	1,411	315	363	301	273
영업이익	220	81	348	380	93	83	71	59
영업이익(발표기준)	220	81	348		93	83	71	
세전계속사업이익	135	63	354	370	103	11	76	47
당기순이익	97	72	256	271	78	-14	50	54
당기순이익(지배)	86	55	217	258	76	-16	52	35
당기순이익(비지배)	11							
자산총계	1,768	2,253	2,732	2,982	2,753	2,732	2,807	
부채총계	620	1,060	1,295	1,278	1,292	1,295	1,329	
자본총계	1,148	1,193	1,437	1,705	1,461	1,437	1,478	
자본총계(지배)	1,104	1,137	1,424	1,704	1,450	1,424	1,466	
자본총계(비지배)	44							
자본금	76	76	78	79	78	78	78	
영업활동현금흐름	56	122	96	258	-3	61	-30	
투자활동현금흐름	-157	-204	-438	-180	-124	-143	-47	
재무활동현금흐름	113	203	249	6	51	67	21	
CAPEX	151	181	163	107	48	61	39	
FCF	-94	-59	-67	118	-51	0	-69	
이자발생부채	289	478	681		598	681	721	
영업이익률	23.98	8.88	27.34	26.95	29.40	22.77	23.44	21.50
순이익률	10.51	7.89	20.13	19.23	24.65	-3.89	16.57	19.95
ROE(%)	7.88	4.87	16.97	16.50	11.83	16.97	15.36	
ROA(%)	5.90	3.57	10.27	9.50	8.67	10.27	8.27	
부채비율	54.05	88.88	90.17	74.95	88.43	90.17	89.94	
자본유보율	1,413.01	1,456.59	1,824.64		1,856.49	1,824.64	1,892.24	
EPS(원)	564	360	1,412	1,662	489	-105	332	223
PER(배)	62.84	79.97	29.74	16.85	37.76	29.74	19.28	
BPS(원)	7,515	7,738	9,524	11,502	9,698	9,524	9,894	
PBR(배)	4.72	3.72	4.41	2.43	4.12	4.41	2.56	
현금DPS(원)	0	0		0				
현금배당수익률	0.00	0.00		0.00				
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	15,171,403	15,171,403	15,523,602		15,523,602	15,523,602	15,523,602	
