	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2,070	2,047	1,951		538	501	429	
영업이익	86	70	51		33	19	-19	
영업이익(발표기준)	86	70	51		33	19	-19	
세전계속사업이익	87	65	45		30	16	-18	
당기순이익	101	70	36		26	14	-17	
당기순이익(지배)	86	56	30		21	8	-9	
당기순이익(비지배)	15							
자산총계	1,341	1,282	1,252		1,418	1,393	1,252	
부채총계	830	692	639		791	754	639	
자본총계	511	590	613		627	639	613	
자본총계(지배)	358	424	441		452	457	441	
자본총계(비지배)	154							
자본금	66	66	66		66	66	66	
영업활동현금흐름	137	99	68		0	36	41	
투자활동현금흐름	-21	-15	-60		-58	-9	6	
재무활동현금흐름	-72	-80	-50		9	-32	-36	
CAPEX	12	26	19		3	5	10	
FCF	124	73	49		-3	32	31	
이자발생부채	265	190	197		264	235	197	
영업이익률	4.14	3.44	2.62		6.11	3.71	-4.35	
순이익률	4.88	3.44	1.83		4.81	2.87	-3.98	
ROE(%)	30.16	14.29	7.03		5.90	6.51	7.03	
ROA(%)	7.66	5.36	2.82		2.72	3.20	2.82	
부채비율	162.26	117.19	104.24		126.06	117.89	104.24	
자본유보율	274.34	349.42	379.85		386.47	398.70	379.85	
EPS(원)	1,293	845	460		311	123	-138	
PER(배)	14.15	25.68	33.51		38.97	34.36	33.51	
BPS(원)	5,410	6,416	6,665		6,832	6,905	6,665	
PBR(배)	3.38	3.38	2.31		2.42	2.27	2.31	
현금DPS(원)	70	100	100		0	0	100	
현금배당수익률	0.38	0.46	0.65					
현금배당성향(%)	5.41	11.84	21.76		0.00	0.00	-72.60	
발행주식수(보통주)	6,613,820	6,613,820	6,613,820		6,613,820	6,613,820	6,613,820	
