	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	420	373	498		116	126	161	
영업이익	93	48	74		15	10	37	
영업이익(발표기준)	93	48	74		15	10	37	
세전계속사업이익	116	58	81		17	12	38	
당기순이익	91	46	63		13	10	28	
당기순이익(지배)	91	46	63		13	10	28	
당기순이익(비지배)								
자산총계	904	925	1,006		975	982	1,006	
부채총계	319	349	328		334	330	328	
자본총계	585	576	677		641	651	677	
자본총계(지배)	585	576	677		641	651	677	
자본총계(비지배)								
자본금	172	172	179		179	179	179	
영업활동현금흐름	138	53	127		9	42	61	
투자활동현금흐름	-32	10	-74		-25	-5	43	
재무활동현금흐름	-42	-16	-58		-24	-16	-10	
CAPEX	29	37	46		21	18	5	
FCF	110	16	81		-12	24	55	
이자발생부채	165	194	134		176	160	134	
영업이익률	22.06	12.73	14.92		13.18	8.00	23.33	
순이익률	21.69	12.23	12.59		11.66	7.79	17.62	
ROE(%)	16.14	7.86	9.99		9.66	10.36	9.99	
ROA(%)	10.24	4.99	6.49		6.29	6.87	6.49	
부채비율	54.46	60.52	48.45		52.07	50.72	48.45	
자본유보율	223.81	234.24	278.45		258.31	263.80	278.45	
EPS(원)	265	132	175		38	27	79	
PER(배)	22.83	29.97	29.06		26.90	24.08	29.06	
BPS(원)	1,698	1,671	1,889		1,789	1,816	1,889	
PBR(배)	3.56	2.38	2.70		2.48	2.35	2.70	
현금DPS(원)	165	50	50		0	0	50	
현금배당수익률	2.73	1.26	0.98					
현금배당성향(%)	56.51	37.75	28.62		0.00	0.00	63.38	
발행주식수(보통주)	34,470,000	34,470,000	35,860,150		35,860,150	35,860,150	35,860,150	
