	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	72	112	98		21	23	38	
영업이익	-6	-23	-85		-21	-18	-40	
영업이익(발표기준)	-6	-23	-85		-21	-18	-40	
세전계속사업이익	3	-27	-80		27	-91	-9	
당기순이익	3	-27	-80		27	-91	-9	
당기순이익(지배)	3	-27	-80		27	-91	-9	
당기순이익(비지배)								
자산총계	242	222	350		472	425	350	
부채총계	112	81	105		135	180	105	
자본총계	130	141	245		337	245	245	
자본총계(지배)	130	141	245		337	245	245	
자본총계(비지배)								
자본금	105	126	234		226	226	234	
영업활동현금흐름	-4	7	-66		-52	24	-20	
투자활동현금흐름	-4	7	-123		-99	-44	20	
재무활동현금흐름	-33	-3	191		241	-21	-68	
CAPEX	8	13	31		26	1	2	
FCF	-12	-6	-97		-78	22	-23	
이자발생부채	97	57	81		64	156	81	
영업이익률	-7.81	-20.82	-87.06		-98.61	-76.38	-105.75	
순이익률	4.59	-24.34	-81.29		128.02	-391.63	-22.95	
ROE(%)	2.66	-20.19	-41.23		0.33	-45.71	-41.23	
ROA(%)	1.51	-11.77	-27.80		0.23	-27.22	-27.80	
부채비율	86.59	57.64	42.95		40.08	73.63	42.95	
자본유보율	43.12	28.13	13.12		58.50	18.07	13.12	
EPS(원)	17	-124	-201		68	-204	-19	
PER(배)	48.76	N/A	N/A		521.02	N/A	N/A	
BPS(원)	658	589	537		769	558	537	
PBR(배)	1.23	1.92	1.03		1.90	1.25	1.03	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	20,486,627	24,705,553	46,304,890		44,604,210	44,604,210	46,304,890	
