		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			0				0	
영업이익			0				0	
영업이익(발표기준)			0				0	
세전계속사업이익			0				0	
당기순이익			0				0	
당기순이익(지배)			0				0	
당기순이익(비지배)								
자산총계			128				128	
부채총계			13				13	
자본총계			114				114	
자본총계(지배)			114				114	
자본총계(비지배)								
자본금			6				6	
영업활동현금흐름			0				0	
투자활동현금흐름			-112				0	
재무활동현금흐름			128				0	
CAPEX								
FCF								
이자발생부채			13				13	
영업이익률								
순이익률								
ROE(%)								
ROA(%)								
부채비율			11.73				11.73	
자본유보율			1,829.24				1,829.24	
EPS(원)			-8					
PER(배)			N/A					
BPS(원)			1,929				1,929	
PBR(배)			1.04				1.04	
현금DPS(원)						0		
현금배당수익률								
현금배당성향(%)								
발행주식수(보통주)			5,930,000			330,000	5,930,000	
