	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	199	99	179		34	29	91	
영업이익	-2	-109	-80		-17	-17	-34	
영업이익(발표기준)	-2	-109	-80		-17	-17	-34	
세전계속사업이익	-71	-85	-365		-19	-23	-307	
당기순이익	-72	-98	-373		-29	-23	-307	
당기순이익(지배)	-64	-93	-373		-29	-23	-306	
당기순이익(비지배)	-8							
자산총계	650	496	650		516	710	650	
부채총계	305	266	493		260	496	493	
자본총계	345	230	157		256	214	157	
자본총계(지배)	373	264	52		256	214	52	
자본총계(비지배)	-28							
자본금	94	102	122		103	104	122	
영업활동현금흐름	-51	-18	5		4	0	6	
투자활동현금흐름	-45	-14	-172		-1	-95	-65	
재무활동현금흐름	66	92	248		36	191	17	
CAPEX	8	6	12		0	5	5	
FCF	-58	-24	-7		4	-5	0	
이자발생부채	164	137	247		153	194	247	
영업이익률	-1.08	-110.13	-44.91		-51.30	-57.72	-36.74	
순이익률	-35.99	-99.30	-208.09		-87.52	-79.09	-335.33	
ROE(%)	-15.24	-29.11	-236.04		-52.80	-61.29	-236.04	
ROA(%)	-10.63	-17.19	-65.11		-31.15	-29.98	-65.11	
부채비율	88.24	115.41	313.22		101.44	231.73	313.22	
자본유보율	416.92	338.81	133.43		305.56	289.79	133.43	
EPS(원)	-350	-467	-1,733		-142	-109	-1,262	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	1,981	1,292	213		1,245	891	213	
PBR(배)	4.94	7.03	28.08		5.57	5.60	28.08	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	18,833,437	20,428,011	24,335,499		20,601,873	24,054,024	24,335,499	
