	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	0	3	5		1	1	1	
영업이익	-39	-30	-52		-15	-14	-15	
영업이익(발표기준)	-39	-30	-52		-15	-14	-15	
세전계속사업이익	-58	37	-230		-195	-13	-14	
당기순이익	-58	37	-230		-195	-13	-14	
당기순이익(지배)	-58	37	-230		-195	-13	-14	
당기순이익(비지배)								
자산총계	25	121	479		311	302	479	
부채총계	53	105	18		14	17	18	
자본총계	-28	16	461		297	286	461	
자본총계(지배)	-28	16	461		297	286	461	
자본총계(비지배)								
자본금	20	20	66		29	58	66	
영업활동현금흐름	-25	-24	127		-7	-11	151	
투자활동현금흐름	15	-95	-350		-193	10	-172	
재무활동현금흐름	10	121	391		202	2	188	
CAPEX	0	6	8		4	2	2	
FCF	-25	-29	119		-11	-12	149	
이자발생부채	48	99	4		5	4	4	
영업이익률	-8,877.29	-1,030.53	-1,125.80		-1,645.35	-1,188.37	-1,121.22	
순이익률	-13,302.44	1,307.34	-4,977.80		-21,951.13	-1,083.74	-1,034.11	
ROE(%)		-652.14	-96.19				-96.19	
ROA(%)		51.29	-76.48				-76.48	
부채비율	-189.69	637.50	3.98		4.88	5.91	3.98	
자본유보율	-323.24	-76.76	586.43		909.93	382.60	586.43	
EPS(원)	-699	427	-2,183		-2,043	-111	-116	
PER(배)			N/A				N/A	
BPS(원)	-337	180	3,505		2,578	2,481	3,505	
PBR(배)	0.00	0.00	4.42		0.00	0.00	4.42	
현금DPS(원)	0	0			0	0		
현금배당수익률								
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	8,098,414	8,292,366	13,154,876		11,506,876	11,506,876	13,154,876	
