	2017/03	2018/03	2019/03	2020/03	2019/06	2019/09	2019/12	2020/03
매출액	857	658	788	1,063	228	241	220	
영업이익	57	106	150	254	39	51	30	
영업이익(발표기준)	58	97	141		37	49	30	
세전계속사업이익	58	90	128	243	29	44	32	
당기순이익	39	80	94	147	18	28	21	
당기순이익(지배)	39	81	95	149	18	28	21	
당기순이익(비지배)		-1						
자산총계	1,220	2,505	3,063	3,483	3,160	2,239	4,044	3,483
부채총계	911	2,248	2,679	3,537	2,786	1,824	3,625	3,537
자본총계	309	257	385	517	374	415	420	517
자본총계(지배)	309	256	378	513	368	409	414	513
자본총계(비지배)		2						
자본금	80	145	149	149	156	162	154	149
영업활동현금흐름	169	870	226	730	-38	-676	1,188	
투자활동현금흐름	-10	-241	10	2	-14	-16	-12	
재무활동현금흐름	-26	373	64	-46	-44	-130	686	
CAPEX	3	24	14	32	3	2	1	
FCF	167	846	212	536	-41	-678	1,187	
이자발생부채	77	404	510		607	502	1,100	
영업이익률	6.70	16.17	19.07	23.89	16.96	21.37	13.48	
순이익률	4.53	12.16	11.98	13.83	7.83	11.54	9.42	
ROE(%)	12.76	28.62	30.05	33.43	26.32	25.66	22.16	
ROA(%)	3.36	4.29	3.39	4.49	2.78	3.56	2.38	
부채비율	294.72	873.77	696.61	684.14	743.82	438.97	863.89	684.14
자본유보율	349.11	112.21	190.90		175.62	193.33	206.52	
EPS(원)	182	330	386	604	73	113	84	
PER(배)	22.22	24.44	33.78	14.46	53.89	30.57	29.60	
BPS(원)	1,565	1,110	1,642	2,227	1,598	1,776	1,795	2,227
PBR(배)	2.58	7.26	7.95	3.92	11.26	6.11	5.71	3.92
현금DPS(원)	101	137	185	290	0			
현금배당수익률	2.50	1.70	1.42	3.32				
현금배당성향(%)			44.64	47.99	0.00	0.00		
발행주식수(보통주)	21,365,400	24,656,540	24,656,540		24,656,540	24,656,540	24,656,540	
