	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,203	1,066	1,170	1,221	311	268	309	278
영업이익	343	249	306	306	82	50	93	72
영업이익(발표기준)	343	249	306		82	50	93	
세전계속사업이익	351	262	316	294	83	52	98	78
당기순이익	267	206	225	217	49	39	74	55
당기순이익(지배)	246	189	206	206	44	36	70	48
당기순이익(비지배)	21							
자산총계	3,160	3,031	3,562	3,730	3,568	3,317	3,562	
부채총계	1,882	1,612	2,031	2,031	2,086	1,793	2,031	
자본총계	1,278	1,419	1,531	1,698	1,482	1,524	1,531	
자본총계(지배)	1,196	1,321	1,415	1,541	1,373	1,411	1,415	
자본총계(비지배)	82							
자본금	46	46	46	47	46	46	46	
영업활동현금흐름	147	214	324	112	32	392	77	
투자활동현금흐름	-185	-144	6	-29	-21	-22	29	
재무활동현금흐름	-64	-90	-194	-54	-78	-197	-95	
CAPEX	7	13	6	20	0	3	0	
FCF	140	201	318	87	32	389	76	
이자발생부채	30	0	92		302	105	92	
영업이익률	28.52	23.40	26.12	25.05	26.19	18.73	30.25	25.78
순이익률	22.18	19.32	19.22	17.80	15.69	14.49	24.01	19.78
ROE(%)	22.56	15.03	15.07	13.94	14.38	13.70	15.07	
ROA(%)	9.20	6.65	6.82	5.96	6.42	6.51	6.82	
부채비율	147.29	113.54	132.63	119.59	140.77	117.64	132.63	
자본유보율	2,523.74	2,798.14	3,179.46		2,911.04	2,994.59	3,179.46	
EPS(원)	2,805	2,161	2,355	2,353	504	413	799	552
PER(배)	26.56	13.14	14.16	12.71	18.22	15.00	14.16	
BPS(원)	13,659	15,088	16,645	18,121	15,679	16,117	16,645	
PBR(배)	5.45	1.88	2.00	1.65	2.49	1.96	2.00	
현금DPS(원)	690	530	660	725	0	0	660	
현금배당수익률	0.93	1.87	1.98	2.42				
현금배당성향(%)	24.60	24.53	27.21	30.81	0.00	0.00	80.17	
발행주식수(보통주)	8,754,691	8,754,691	8,754,691		8,754,691	8,754,691	8,754,691	
