	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	6,945	2,088	2,108		550	421	660	
영업이익	204	-12	44		24	-22	51	
영업이익(발표기준)	204	-12	44		24	-22	51	
세전계속사업이익	181	-24	-791		81	-164	-611	
당기순이익	10	-576	-774		90	-165	-599	
당기순이익(지배)	-10	-531	-774		90	-165	-599	
당기순이익(비지배)	20							
자산총계	5,538	2,662	1,755		2,515	2,356	1,755	
부채총계	3,249	828	679		667	678	679	
자본총계	2,289	1,834	1,077		1,848	1,677	1,077	
자본총계(지배)	1,477	1,834	1,077		1,848	1,677	1,077	
자본총계(비지배)	812							
자본금	104	104	104		104	104	104	
영업활동현금흐름	512	-149	100		18	-28	48	
투자활동현금흐름	-336	-966	214		204	1	-34	
재무활동현금흐름	12	550	-329		-222	25	-13	
CAPEX	329	278	39		-33	77	-58	
FCF	183	-426	61		51	-105	106	
이자발생부채	584	590	451		412	429	451	
영업이익률	2.93	-0.56	2.10		4.46	-5.27	7.80	
순이익률	0.14	-27.61	-36.72		16.37	-39.21	-90.90	
ROE(%)	-0.56	-47.17	-53.17		-24.81	-39.08	-46.82	
ROA(%)	0.18	-23.19	-35.04		-13.50	-19.34	-30.85	
부채비율	141.97	45.14	63.01		36.09	40.46	63.01	
자본유보율	2,159.15	1,645.02	900.27		1,636.08	1,477.18	900.27	
EPS(원)	-48	-2,764	-3,711		432	-792	-2,874	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	7,082	8,795	5,163		8,860	8,041	5,163	
PBR(배)	1.11	0.34	0.53		0.34	0.39	0.53	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	20,856,819	20,856,819	20,856,819		20,856,819	20,856,819	20,856,819	
