	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	735	366	118		27	22	44	
영업이익	-34	-107	-46		-6	-13	-6	
영업이익(발표기준)	-34	-107	-46		-6	-13	-6	
세전계속사업이익	-40	-104	41		20	-10	47	
당기순이익	-40	-121	41		20	-10	47	
당기순이익(지배)	-33	-121	61		22	-11	66	
당기순이익(비지배)	-7							
자산총계	610	939	1,170		1,071	1,081	1,170	
부채총계	57	375	451		387	401	451	
자본총계	553	564	720		684	679	720	
자본총계(지배)	553	563	655		602	597	655	
자본총계(비지배)	0							
자본금	123	142	146		146	146	146	
영업활동현금흐름	-7	14	-23		-1	-16	6	
투자활동현금흐름	-5	-365	-161		13	-51	-19	
재무활동현금흐름	37	400	66		74	39	-18	
CAPEX	15	46	3		3	0	0	
FCF	-22	-33	-26		-3	-16	6	
이자발생부채	16	288	359		315	325	359	
영업이익률	-4.59	-29.25	-38.66		-21.33	-61.26	-13.42	
순이익률	-5.51	-33.20	34.88		75.84	-47.69	109.04	
ROE(%)	-9.28	-21.71	9.95		-12.29	-11.63	9.95	
ROA(%)	-6.27	-15.68	3.90		-7.73	-7.11	3.90	
부채비율	10.26	66.48	62.63		56.52	59.06	62.63	
자본유보율	339.02	289.02	347.73		302.40	293.00	347.73	
EPS(원)	-37	-88	42		15	-7	45	
PER(배)	N/A	N/A	12.50		N/A	N/A	12.50	
BPS(원)	450	398	448		412	408	448	
PBR(배)	1.95	1.87	1.16		1.70	1.23	1.16	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	122,798,622	141,563,497	146,136,795		146,136,795	146,136,795	146,136,795	
