	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	52	47	50		12	11	15	
영업이익	-18	-28	-24		-5	-5	-5	
영업이익(발표기준)	-18	-28	-24		-5	-5	-5	
세전계속사업이익	-17	-33	-12		-5	4	-2	
당기순이익	-17	-33	-12		-5	4	-2	
당기순이익(지배)	-15	-31	-12		-4	1	-1	
당기순이익(비지배)	-3							
자산총계	177	315	285		303	290	285	
부채총계	58	201	132		155	134	132	
자본총계	119	114	152		149	155	152	
자본총계(지배)	111	108	152		145	148	152	
자본총계(비지배)	9							
자본금	51	80	92		89	89	92	
영업활동현금흐름	-18	-27	-23		-6	3	-10	
투자활동현금흐름	17	-95	47		-16	0	48	
재무활동현금흐름	1	164	-18		4	-17	-1	
CAPEX	2	3	2		0	6	-5	
FCF	-20	-31	-24		-6	-3	-5	
이자발생부채	41	172	109		127	108	109	
영업이익률	-33.96	-59.27	-46.62		-42.37	-45.79	-34.94	
순이익률	-33.43	-69.42	-23.23		-41.13	34.98	-15.19	
ROE(%)	-12.49	-28.38	-9.00		-24.10	-17.53	-11.64	
ROA(%)	-9.36	-13.34	-3.91		-11.31	-7.25	-5.62	
부채비율	48.54	176.55	86.60		103.95	86.48	86.60	
자본유보율	110.23	28.97	65.40		57.37	59.45	65.40	
EPS(원)	-96	-202	-66		-24	5	-12	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	722	676	826		815	830	826	
PBR(배)	3.29	6.26	2.57		4.10	3.12	2.57	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00		0.00		0.00	0.00	0.00	
발행주식수(보통주)	15,322,910	16,034,472	18,460,765		17,740,155	17,822,094	18,460,765	
