	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	909	976	961		234	236	247	
영업이익	29	33	25		4	4	7	
영업이익(발표기준)	29	33	25		4	4	7	
세전계속사업이익	26	33	43		3	4	26	
당기순이익	20	26	33		3	3	20	
당기순이익(지배)	20	26	33		3	3	20	
당기순이익(비지배)								
자산총계	844	902	987		933	915	987	
부채총계	237	276	338		307	286	338	
자본총계	607	626	649		626	629	649	
자본총계(지배)	607	626	649		626	629	649	
자본총계(비지배)								
자본금	162	162	162		162	162	162	
영업활동현금흐름	26	61	70		15	10	29	
투자활동현금흐름	2	-69	-96		-8	-7	-79	
재무활동현금흐름	-28	23	3		-16	-4	24	
CAPEX	8	71	97		8	7	80	
FCF	19	-10	-27		7	4	-50	
이자발생부채	120	152	194		168	166	194	
영업이익률	3.15	3.39	2.60		1.57	1.79	2.90	
순이익률	2.18	2.64	3.44		1.23	1.18	8.07	
ROE(%)	3.28	4.17	5.18		2.59	2.08	5.18	
ROA(%)	2.31	2.95	3.50		1.79	1.46	3.50	
부채비율	38.99	44.15	52.12		49.05	45.49	52.12	
자본유보율	279.66	294.30	308.48		294.58	296.30	308.48	
EPS(원)	122	159	204		18	17	123	
PER(배)	16.67	12.47	9.82		24.97	25.33	9.82	
BPS(원)	3,913	4,031	4,179		4,034	4,052	4,179	
PBR(배)	0.52	0.49	0.48		0.62	0.50	0.48	
현금DPS(원)	50	50	50		0	0	50	
현금배당수익률	2.46	2.53	2.50					
현금배당성향(%)	33.64	30.15	20.03		0.00	0.00	33.23	
발행주식수(보통주)	16,213,590	16,213,590	16,213,590		16,213,590	16,213,590	16,213,590	
