	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	725	1,029	341		88	87	87	
영업이익	84	99	-234		-31	-49	-140	
영업이익(발표기준)	84	99	-234		-31	-49	-140	
세전계속사업이익	86	41	-457		-79	-54	-294	
당기순이익	82	37	-449		-79	-46	-293	
당기순이익(지배)	82	37	-448		-79	-46	-293	
당기순이익(비지배)	0							
자산총계	1,008	1,517	866		1,346	1,256	866	
부채총계	547	898	587		743	691	587	
자본총계	460	619	279		603	564	279	
자본총계(지배)	460	619	278		603	564	278	
자본총계(비지배)								
자본금	254	299	328		323	326	328	
영업활동현금흐름	102	-101	-21		16	15	8	
투자활동현금흐름	-625	20	-4		-13	5	4	
재무활동현금흐름	506	77	27		32	-39	-22	
CAPEX	3	4	1		0	0	0	
FCF	99	-105	-21		16	15	7	
이자발생부채	282	241	178		274	226	178	
영업이익률	11.59	9.63	-68.58		-35.49	-56.61	-161.48	
순이익률	11.31	3.60	-131.49		-88.81	-53.01	-339.04	
ROE(%)	29.66	6.87	-99.99		-19.01	-33.35	-99.99	
ROA(%)	13.55	2.94	-37.66		-8.14	-14.23	-37.66	
부채비율	119.01	144.95	210.45		123.14	122.44	210.45	
자본유보율	78.50	113.91	-12.11		90.32	76.64	-12.11	
EPS(원)	202	67	-706		-123	-71	-448	
PER(배)	13.81	25.12	N/A		N/A	N/A	N/A	
BPS(원)	904	1,036	423		932	865	423	
PBR(배)	3.09	1.62	2.17		1.54	1.19	2.17	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	50,869,788	59,763,437	65,561,605		64,678,658	65,257,605	65,561,605	
