	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	464	252	386		59	83	14	
영업이익	20	-75	-173		-85	-10	-73	
영업이익(발표기준)	20	-75	-173		-85	-10	-73	
세전계속사업이익	16	-152	-343		-140	-33	-165	
당기순이익	25	-130	-343		-140	-33	-165	
당기순이익(지배)	25	-126	-339		-139	-32	-165	
당기순이익(비지배)	0							
자산총계	356	772	726		1,027	1,022	726	
부채총계	52	440	359		755	601	359	
자본총계	304	332	367		272	421	367	
자본총계(지배)	304	339	367		282	421	367	
자본총계(비지배)								
자본금	218	242	496		263	368	496	
영업활동현금흐름	-107	-273	-84		-16	15	-64	
투자활동현금흐름	112	-79	-279		-375	-43	237	
재무활동현금흐름	79	425	215		107	14	-179	
CAPEX	1	25	0		0			
FCF	-108	-298	-84		-16	15	-64	
이자발생부채	28	395	265		685	511	265	
영업이익률	4.26	-29.66	-44.97		-143.45	-11.85	-524.06	
순이익률	5.28	-51.50	-88.86		-238.08	-39.21	-1,187.50	
ROE(%)	13.42	-39.00	-96.01		-71.72	-59.60	-96.01	
ROA(%)	7.61	-22.96	-45.76		-28.02	-26.40	-45.76	
부채비율	17.03	132.52	97.83		277.91	142.71	97.83	
자본유보율	39.77	40.26	-25.94		7.45	14.40	-25.94	
EPS(원)	80	-278	-538		-272	-49	-192	
PER(배)	18.52	N/A	N/A		N/A	N/A	N/A	
BPS(원)	699	701	370		537	572	370	
PBR(배)	2.11	3.41	1.36		1.85	1.20	1.36	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	43,559,591	48,402,813	99,103,700		52,558,644	73,583,247	99,103,700	
