	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2	3	11		4	3	3	
영업이익	-54	-82	-151		-37	-36	-52	
영업이익(발표기준)	-54	-82	-151		-37	-36	-52	
세전계속사업이익	-52	-77	-142		-34	-35	-50	
당기순이익	-52	-77	-144		-34	-35	-51	
당기순이익(지배)	-52	-77	-144		-34	-35	-52	
당기순이익(비지배)								
자산총계	216	556	452		536	498	452	
부채총계	30	7	34		37	30	34	
자본총계	187	549	418		499	467	418	
자본총계(지배)	187	549	418		499	467	418	
자본총계(비지배)								
자본금	26	33	33		33	33	33	
영업활동현금흐름	-48	-84	-107		-26	-38	-47	
투자활동현금흐름	-58	-317	126		2	117	-15	
재무활동현금흐름	107	423	2		0	0	2	
CAPEX	13	5	10		1	4	4	
FCF	-61	-89	-117		-27	-42	-51	
이자발생부채	14	0	2		0	1	2	
영업이익률	-2,217.53	-2,726.47	-1,337.38		-980.34	-1,047.57	-1,775.78	
순이익률	-2,116.66	-2,563.58	-1,269.79		-901.83	-999.18	-1,754.06	
ROE(%)	-33.07		-29.67				-29.67	
ROA(%)	-28.07		-28.46				-28.46	
부채비율	15.87	1.27	8.13		7.50	6.50	8.13	
자본유보율	601.75	1,565.82	1,125.28		1,389.76	1,283.34	1,125.28	
EPS(원)	-1,110	-1,334	-2,204		-517	-533	-789	
PER(배)		N/A	N/A			N/A	N/A	
BPS(원)	3,588	8,447	6,401		7,665	7,182	6,401	
PBR(배)	0.00	8.10	6.62		5.27	4.71	6.62	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률		0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	5,205,544	6,503,921	6,530,121		6,505,921	6,507,121	6,530,121	
