	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	7,844	7,578	6,737		1,848	1,671	1,588	
영업이익	384	148	329		101	117	83	
영업이익(발표기준)	384	148	329		101	117	83	
세전계속사업이익	327	130	317		107	124	52	
당기순이익	228	20	181		40	92	25	
당기순이익(지배)	197	105	136		20	61	28	
당기순이익(비지배)	31							
자산총계	8,270	7,816	7,529		7,972	7,799	7,529	
부채총계	3,020	2,605	2,231		2,779	2,510	2,231	
자본총계	5,250	5,211	5,298		5,193	5,289	5,298	
자본총계(지배)	3,700	3,759	3,826		3,750	3,816	3,826	
자본총계(비지배)	1,550							
자본금	542	542	542		542	542	542	
영업활동현금흐름	705	-93	460		162	-44	273	
투자활동현금흐름	-300	111	147		71	-7	100	
재무활동현금흐름	-252	-279	-540		-73	-176	-275	
CAPEX	208	179	70		26	12	15	
FCF	497	-272	390		136	-56	259	
이자발생부채	1,335	1,217	774		1,220	1,047	774	
영업이익률	4.89	1.95	4.89		5.46	6.99	5.20	
순이익률	2.91	0.27	2.68		2.14	5.50	1.55	
ROE(%)	5.41	2.82	3.58		3.39	3.21	3.58	
ROA(%)	2.74	0.25	2.36		1.01	0.95	2.36	
부채비율	57.53	49.99	42.10		53.52	47.46	42.10	
자본유보율	603.43	614.46	626.35		612.18	624.21	626.35	
EPS(원)	364	194	250		37	113	51	
PER(배)	10.82	12.60	10.38		11.85	11.29	10.38	
BPS(원)	7,181	7,295	7,426		7,278	7,405	7,426	
PBR(배)	0.55	0.34	0.35		0.38	0.34	0.35	
현금DPS(원)	150	130	130		0	0	130	
현금배당수익률	3.81	5.32	5.01					
현금배당성향(%)	39.19	63.66	49.37		0.00	0.00	243.13	
발행주식수(보통주)	54,244,482	54,244,482	54,244,482		54,244,482	54,244,482	54,244,482	
