	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,972	2,013	1,836		472	450	421	
영업이익	20	-10	-25		6	0	-32	
영업이익(발표기준)	20	-10	-25		6	0	-32	
세전계속사업이익	-48	59	-97		-2	7	-99	
당기순이익	-43	-12	-117		-2	3	-115	
당기순이익(지배)	-43	-11	-116		-2	4	-115	
당기순이익(비지배)	0							
자산총계	2,293	1,993	1,795		1,964	1,855	1,795	
부채총계	1,185	925	878		930	823	878	
자본총계	1,107	1,067	917		1,034	1,032	917	
자본총계(지배)	1,106	1,064	914		1,030	1,029	914	
자본총계(비지배)	1							
자본금	164	164	164		164	164	164	
영업활동현금흐름	41	-116	-40		-81	-66	-6	
투자활동현금흐름	140	306	-43		-10	-1	-8	
재무활동현금흐름	-138	-166	29		-39	9	65	
CAPEX	40	33	32		7	8	6	
FCF	0	-149	-72		-88	-74	-12	
이자발생부채	640	508	585		508	519	585	
영업이익률	1.01	-0.52	-1.35		1.38	0.06	-7.69	
순이익률	-2.18	-0.61	-6.38		-0.53	0.77	-27.31	
ROE(%)	-3.82	-1.04	-11.77		1.00	0.82	-11.78	
ROA(%)	-1.87	-0.57	-6.18		0.44	0.35	-6.18	
부채비율	107.03	86.71	95.69		89.98	79.76	95.69	
자본유보율	563.57	540.54	451.90		523.41	525.61	451.90	
EPS(원)	-285	-74	-765		-15	24	-754	
PER(배)	N/A	N/A	N/A		62.37	74.83	N/A	
BPS(원)	7,264	6,988	6,005		6,768	6,758	6,005	
PBR(배)	0.76	0.60	0.69		0.63	0.62	0.69	
현금DPS(원)	150	150	140		0	0	140	
현금배당수익률	2.73	3.59	3.40					
현금배당성향(%)	-52.64	-202.43	-18.30		0.00	0.00	-18.57	
발행주식수(보통주)	15,225,000	15,225,000	15,225,000		15,225,000	15,225,000	15,225,000	
