	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	920	833	730		203	184	144	
영업이익	72	10	5		10	5	-21	
영업이익(발표기준)	72	10	5		10	5	-21	
세전계속사업이익	33	-28	-15		5	5	-38	
당기순이익	14	-36	-22		2	3	-37	
당기순이익(지배)	14	-35	-21		2	3	-36	
당기순이익(비지배)	0							
자산총계	2,034	2,051	2,048		2,085	2,155	2,048	
부채총계	1,160	1,223	1,189		1,219	1,264	1,189	
자본총계	874	828	859		866	891	859	
자본총계(지배)	876	831	862		869	894	862	
자본총계(비지배)	-2							
자본금	181	181	181		181	181	181	
영업활동현금흐름	67	10	-79		-17	1	-46	
투자활동현금흐름	-11	-43	28		4	2	19	
재무활동현금흐름	-47	52	72		7	40	6	
CAPEX	2	2	7		4	0	2	
FCF	66	8	-86		-21	1	-48	
이자발생부채	716	792	788		793	807	788	
영업이익률	7.84	1.17	0.63		4.87	2.45	-14.74	
순이익률	1.47	-4.30	-3.01		1.09	1.69	-25.42	
ROE(%)	1.68	-4.11	-2.52		-4.72	-4.59	-2.52	
ROA(%)	0.66	-1.75	-1.07		-2.03	-1.97	-1.07	
부채비율	132.78	147.78	138.34		140.79	141.97	138.34	
자본유보율	409.53	385.27	396.95		403.81	419.41	396.95	
EPS(원)	37	-97	-59		6	9	-100	
PER(배)	57.73	N/A	N/A		N/A	N/A	N/A	
BPS(원)	3,206	3,055	2,842		2,964	2,949	2,842	
PBR(배)	0.67	0.63	1.11		1.18	1.09	1.11	
현금DPS(원)	25	25	25		0	0	25	
현금배당수익률	1.16	1.31	0.79					
현금배당성향(%)	23.62	-8.98	-19.32		0.00	0.00	-11.39	
발행주식수(보통주)	36,212,160	36,212,160	36,212,160		36,212,160	36,212,160	36,212,160	
