	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	181	223	243		55	69	63	
영업이익	-51	-40	-51		-15	-21	-16	
영업이익(발표기준)	-51	-40	-51		-15	-21	-16	
세전계속사업이익	-57	-30	-35		-13	-15	-13	
당기순이익	-48	-31	-44		-10	-30	-8	
당기순이익(지배)	-40	-34	-52		-10	-33	-10	
당기순이익(비지배)	-7							
자산총계	907	893	856		883	856	850	
부채총계	98	115	111		120	111	112	
자본총계	809	778	746		762	746	738	
자본총계(지배)	656	622	577		603	577	567	
자본총계(비지배)	153							
자본금	79	79	79		79	79	79	
영업활동현금흐름	-63	-11	-5		-23	33	10	
투자활동현금흐름	1	22	-3		-19	-10	-10	
재무활동현금흐름	13	0	-6		9	-12	-1	
CAPEX	107	31	38		25	6	4	
FCF	-170	-42	-44		-48	26	6	
이자발생부채	6	0	9		10	9	7	
영업이익률	-28.02	-18.02	-20.95		-27.41	-29.57	-24.63	
순이익률	-26.28	-13.81	-18.00		-18.05	-43.02	-12.60	
ROE(%)	-6.06	-5.32	-8.62		-5.83	-8.62	-9.53	
ROA(%)	-5.39	-3.43	-5.00		-3.23	-5.00	-5.54	
부채비율	12.10	14.74	14.88		15.79	14.88	15.16	
자본유보율	734.75	691.97	630.36		665.44	630.36	617.08	
EPS(원)	-255	-216	-329		-65	-207	-66	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	4,174	3,960	3,671		3,835	3,671	3,610	
PBR(배)	3.15	3.03	2.47		2.35	2.47	3.05	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	15,717,440	15,717,440	15,717,440		15,717,440	15,717,440	15,717,440	
