	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	3,127	3,728	4,022		943	1,089	841	
영업이익	97	112	215		55	57	20	
영업이익(발표기준)	97	112	215		55	57	20	
세전계속사업이익	45	84	239		26	56	-148	
당기순이익	31	48	171		11	25	-162	
당기순이익(지배)	32	50	173		14	24	-151	
당기순이익(비지배)	0							
자산총계	2,071	2,124	2,654		2,368	2,654	2,585	
부채총계	1,690	1,721	2,024		1,807	2,024	2,027	
자본총계	381	403	631		560	631	557	
자본총계(지배)	378	401	630		561	630	563	
자본총계(비지배)	3							
자본금	90	90	90		90	90	90	
영업활동현금흐름	141	152	154		-180	23	-107	
투자활동현금흐름	-98	-210	-231		-103	-70	-70	
재무활동현금흐름	-16	26	147		256	82	92	
CAPEX	113	43	174		65	87	39	
FCF	28	109	-20		-245	-64	-145	
이자발생부채	795	827	986		925	986	1,089	
영업이익률	3.10	3.01	5.35		5.79	5.19	2.36	
순이익률	1.00	1.28	4.26		1.20	2.34	-19.23	
ROE(%)	8.60	12.93	33.47		50.72	33.47	-6.11	
ROA(%)	1.54	2.28	7.17		10.54	7.17	-1.78	
부채비율	443.61	427.59	320.90		322.51	320.90	363.85	
자본유보율	116.18	154.21	308.33		308.41	308.33	128.29	
EPS(원)	176	280	959		80	134	-838	
PER(배)	9.72	8.52	3.82		3.57	3.82	N/A	
BPS(원)	2,100	2,229	3,503		3,118	3,503	3,125	
PBR(배)	0.81	1.07	1.04		1.47	1.04	0.76	
현금DPS(원)	50	50	60		0	60		
현금배당수익률	2.92	2.10	1.64					
현금배당성향(%)	28.42	17.87	6.26		0.00	44.72		
발행주식수(보통주)	18,000,000	18,000,000	18,000,000		18,000,000	18,000,000	18,000,000	
