	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	841	998	1,233	1,438	297	326	293	343
영업이익	91	66	-23	89	-2	1	-29	22
영업이익(발표기준)	91	66	-23		-2	1	-29	
세전계속사업이익	85	271	-14	94	0	8	-32	
당기순이익	77	262	-51		-25	4	-35	
당기순이익(지배)	77	262	-51	75	-25	4	-35	20
당기순이익(비지배)								
자산총계	930	1,255	1,211		1,406	1,411	1,211	
부채총계	48	154	186		342	344	186	
자본총계	882	1,100	1,024		1,064	1,067	1,024	
자본총계(지배)	882	1,100	1,024		1,064	1,067	1,024	
자본총계(비지배)								
자본금	69	69	69		69	69	69	
영업활동현금흐름	42	97	60		23	18	-97	
투자활동현금흐름	-39	-135	15		-3	-8	80	
재무활동현금흐름	-40	-27	0		0	0	-55	
CAPEX	19	16	6		2	3	1	
FCF	23	81	54		21	16	-98	
이자발생부채	0	0	20		75	75	20	
영업이익률	10.88	6.57	-1.88	6.19	-0.83	0.20	-9.80	6.41
순이익률	9.12	26.19	-4.10		-8.42	1.23	-11.96	
ROE(%)	8.93	26.38	-4.76		21.86	-4.30	-4.76	
ROA(%)	8.20	23.95	-4.10		16.91	-3.26	-4.10	
부채비율	5.42	14.01	18.19		32.10	32.21	18.19	
자본유보율	1,170.73	1,487.49	1,375.08		1,430.31	1,436.13	1,375.08	
EPS(원)	577	1,967	-381	564	-188	30	-264	150
PER(배)	14.66	2.85	N/A	7.62	3.08	N/A	N/A	
BPS(원)	6,635	8,278	7,706		8,006	8,027	7,706	
PBR(배)	1.27	0.68	0.68		0.62	0.61	0.68	
현금DPS(원)	200	150	70		0	0	70	
현금배당수익률	2.37	2.68	1.34					
현금배당성향(%)	34.69	7.62	-18.40		0.00	0.00	-26.51	
발행주식수(보통주)	13,292,934	13,292,934	13,292,934		13,292,934	13,292,934	13,292,934	
