	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	6,847	7,267	7,743	8,690	1,820	2,672	1,832	
영업이익	478	408	448	520	92	203	125	
영업이익(발표기준)	478	408	448		92	203	125	
세전계속사업이익	366	344	484	500	111	155	128	
당기순이익	270	247	279	370	92	84	91	
당기순이익(지배)	264	248	279	370	92	84	91	
당기순이익(비지배)	6							
자산총계	5,037	5,836	6,098	6,780	6,345	6,098	6,441	
부채총계	2,472	3,035	3,088	3,440	3,376	3,088	3,371	
자본총계	2,565	2,801	3,010	3,340	2,969	3,010	3,070	
자본총계(지배)	2,565	2,799	3,008	3,340	2,966	3,008	3,068	
자본총계(비지배)								
자본금	127	127	127	130	127	127	127	
영업활동현금흐름	201	-145	786	450	8	774	-176	
투자활동현금흐름	-402	-447	-515	10	-104	-256	-95	
재무활동현금흐름	265	565	-335	180	205	-619	388	
CAPEX	348	445	494	0	103	241	84	
FCF	-147	-590	292		-95	534	-259	
이자발생부채	603	1,192	976		1,572	976	1,389	
영업이익률	6.98	5.61	5.79	5.98	5.05	7.59	6.84	
순이익률	3.95	3.40	3.60	4.26	5.04	3.14	4.95	
ROE(%)	10.73	9.23	9.59	11.66	9.78	9.59	11.55	
ROA(%)	5.79	4.55	4.67	5.75	4.40	4.67	5.44	
부채비율	96.37	108.35	102.56	102.99	113.72	102.56	109.80	
자본유보율	1,881.37	2,089.13	2,255.62		2,214.99	2,255.62	2,296.66	
EPS(원)	2,074	1,943	2,186	2,904	720	658	713	
PER(배)	24.73	21.38	21.31	13.26	18.17	21.31	11.57	
BPS(원)	20,319	22,170	23,829	26,458	23,499	23,829	24,302	
PBR(배)	2.52	1.87	1.96	1.46	1.70	1.96	1.27	
현금DPS(원)	200	250	300	300	0	300		
현금배당수익률	0.39	0.60	0.64	0.78				
현금배당성향(%)	9.55	12.75	13.60	10.33	0.00	45.18		
발행주식수(보통주)	12,739,510	12,739,510	12,739,510		12,739,510	12,739,510	12,739,510	
