	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	120,922	130,116	126,834	96,681	33,829	30,406	24,273	18,727
영업이익	9,398	6,712	2,575	-1,223	964	1,191	-828	-2,189
영업이익(발표기준)	9,398	6,712	2,575		964	1,191	-828	
세전계속사업이익	11,217	-1,777	-7,345	-10,520	-3,453	1,763	-9,796	-3,818
당기순이익	8,019	-1,611	-6,228	-8,542	-2,513	867	-7,369	-3,298
당기순이익(지배)	7,915	-1,685	-6,291	-8,548	-2,540	855	-7,318	-3,123
당기순이익(비지배)	104							
자산총계	246,487	258,425	270,141	260,705	272,974	270,141	268,602	
부채총계	208,976	226,799	242,333	235,248	246,276	242,333	248,293	
자본총계	37,511	31,626	27,808	25,456	26,697	27,808	20,309	
자본총계(지배)	36,294	30,395	26,562	23,265	25,423	26,562	19,133	
자본총계(비지배)	1,217							
자본금	4,798	4,798	4,798	6,898	4,798	4,798	4,798	
영업활동현금흐름	28,068	27,926	23,337	14,067	3,756	5,302	-826	
투자활동현금흐름	-20,412	-6,579	-15,950	-9,432	-5,814	-1,590	-3,129	
재무활동현금흐름	-10,362	-14,075	-14,472	-1,637	1,353	-5,885	1,975	
CAPEX	18,765	12,762	11,828	10,707	3,653	1,921	3,780	
FCF	9,302	15,164	11,508	3,991	103	3,381	-4,606	
이자발생부채	135,847	157,392	170,237		164,030	170,237	180,765	
영업이익률	7.77	5.16	2.03	-1.26	2.85	3.92	-3.41	-11.69
순이익률	6.63	-1.24	-4.91	-8.83	-7.43	2.85	-30.36	-17.61
ROE(%)	29.37	-5.05	-22.09	-34.31	-27.26	-22.09	-54.72	
ROA(%)	3.30	-0.64	-2.36	-3.22	-3.08	-2.36	-4.81	
부채비율	557.11	717.13	871.45	924.12	922.48	871.45	1,222.56	
자본유보율	317.41	241.52	77.93		68.56	77.93	-77.81	
EPS(원)	8,631	-1,756	-6,556	-8,909	-2,648	891	-7,627	-3,255
PER(배)	3.92	N/A	N/A	N/A	N/A	N/A	N/A	
BPS(원)	37,824	31,677	27,682	24,245	26,495	27,682	19,939	
PBR(배)	0.89	1.04	1.03	0.81	0.86	1.03	0.94	
현금DPS(원)	250	250	0	0	0	0		
현금배당수익률	0.74	0.76	0.00	0.00				
현금배당성향(%)	3.04	-14.27	0.00		0.00	0.00		
발행주식수(보통주)	94,844,634	94,844,634	94,844,634		94,844,634	94,844,634	94,844,634	
