	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,212	2,129	3,193	3,808	859	638	1,012	819
영업이익	290	424	332	567	133	24	116	113
영업이익(발표기준)	290	424	332		133	24	116	
세전계속사업이익	230	18	203	504	118	-7	70	98
당기순이익	204	108	221	399	174	-42	69	85
당기순이익(지배)	202	65	193	305	124	-8	50	56
당기순이익(비지배)	2							
자산총계	5,458	6,551	6,517	6,928	6,368	6,423	6,517	
부채총계	3,208	3,485	3,180	3,191	3,280	3,144	3,180	
자본총계	2,250	3,066	3,337	3,736	3,088	3,279	3,337	
자본총계(지배)	1,851	1,988	2,354	2,728	2,120	2,317	2,354	
자본총계(비지배)	398							
자본금	122	122	129	129	122	129	129	
영업활동현금흐름	426	605	405	542	233	-3	216	
투자활동현금흐름	-1,860	-500	-80	-199	-233	20	185	
재무활동현금흐름	1,742	19	-192	-17	-119	-35	-60	
CAPEX	19	129	62	38	4	18	22	
FCF	407	476	343	440	229	-21	194	
이자발생부채	1,658	1,768	1,491		1,748	1,509	1,491	
영업이익률	23.89	19.94	10.40	14.89	15.51	3.73	11.44	13.80
순이익률	16.86	5.05	6.93	10.48	20.23	-6.59	6.84	10.38
ROE(%)	11.74	3.40	8.87	12.00	2.54	0.43	8.79	
ROA(%)	5.28	1.79	3.39	5.94	1.91	0.85	3.36	
부채비율	142.62	113.67	95.31	85.40	106.20	95.90	95.31	
자본유보율	1,539.62	1,641.15	1,846.63		1,758.95	1,810.77	1,846.63	
EPS(원)	874	282	818	1,248	539	-34	204	229
PER(배)	20.54	46.04	12.22	9.86	56.08	256.35	12.33	
BPS(원)	8,478	9,102	10,148	11,760	9,705	9,988	10,148	
PBR(배)	2.12	1.43	0.99	1.05	1.30	1.02	0.99	
현금DPS(원)	300	200		135	0			
현금배당수익률	1.67	1.54		1.10				
현금배당성향(%)	32.47	67.03	0.00	10.82	0.00	0.00	0.00	
발행주식수(보통주)	23,082,211	23,082,211	24,440,319		23,082,211	24,440,319	24,440,319	
