	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	780	1,040	1,253	1,352	305	334	312	331
영업이익	-75	69	113	149	25	36	17	40
영업이익(발표기준)	-75	69	113		25	36	17	
세전계속사업이익	-118	48	106	137	21	31	13	29
당기순이익	-115	62	84	105	17	26	15	33
당기순이익(지배)	-113	63	85	105	17	26	15	22
당기순이익(비지배)	-2							
자산총계	1,678	1,904	2,028	2,149	1,971	2,028	2,062	
부채총계	360	382	414	521	402	414	433	
자본총계	1,317	1,523	1,614	1,629	1,569	1,614	1,629	
자본총계(지배)	1,288	1,494	1,605	1,701	1,560	1,605	1,620	
자본총계(비지배)	30							
자본금	157	159	159	159	159	159	159	
영업활동현금흐름	81	136	108	139	35	-9	58	
투자활동현금흐름	-43	-141	-24	8	-24	19	-88	
재무활동현금흐름	11	23	-29	-30				
CAPEX	23	25	88	0	48	7	5	
FCF	59	110	20	136	-13	-16	54	
이자발생부채	258	244	234		229	234	239	
영업이익률	-9.67	6.61	9.00	11.03	8.27	10.68	5.30	12.08
순이익률	-14.76	5.95	6.69	7.77	5.50	7.71	4.91	9.97
ROE(%)	-8.39	4.56	5.49	6.35	9.00	5.49	5.58	
ROA(%)	-6.68	3.46	4.26	5.03	7.00	4.26	4.37	
부채비율	27.37	25.06	25.66	31.98	25.60	25.66	26.57	
자본유보율	741.98	826.08	880.31		861.89	880.31	890.06	
EPS(원)	-361	200	268	331	53	82	49	69
PER(배)	N/A	45.73	29.48	37.79	20.41	29.48	39.25	
BPS(원)	4,186	4,793	5,146	5,454	5,002	5,146	5,196	
PBR(배)	2.58	1.91	1.54	2.29	1.68	1.54	2.08	
현금DPS(원)	0			0				
현금배당수익률	0.00			0.00				
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	31,308,448	31,731,048	31,741,048		31,741,048	31,741,048	31,741,048	
