	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	1,419	1,323	1,405		353	365	233	
영업이익	59	45	100		33	4	-59	
영업이익(발표기준)	59	45	100		33	4	-59	
세전계속사업이익	2	41	414		34	314	-55	
당기순이익	-18	14	327		26	252	-43	
당기순이익(지배)	-17	14	328		26	252	-43	
당기순이익(비지배)	0							
자산총계	2,117	1,959	1,868		1,998	1,868	1,713	
부채총계	884	833	546		848	546	495	
자본총계	1,232	1,127	1,322		1,149	1,322	1,218	
자본총계(지배)	1,228	1,123	1,318		1,145	1,318	1,214	
자본총계(비지배)	4							
자본금	138	170	170		170	170	170	
영업활동현금흐름	153	79	150		50	8	-128	
투자활동현금흐름	-5	132	394		-24	477	-42	
재무활동현금흐름	-228	-218	-430		-6	-370	5	
CAPEX	33	31	80		34	10	0	
FCF	120	47	70		16	-2	-128	
이자발생부채	546	458	162		474	162	176	
영업이익률	4.13	3.44	7.10		9.41	1.12	-25.31	
순이익률	-1.25	1.03	23.31		7.24	69.21	-18.63	
ROE(%)	-1.41	1.17	26.85		6.22	26.85	22.45	
ROA(%)	-0.79	0.67	17.11		3.54	17.11	14.20	
부채비율	71.76	73.90	41.32		73.81	41.32	40.62	
자본유보율	833.44	588.83	720.05		613.57	720.05	663.13	
EPS(원)	-521	446	11,314		885	8,719	-1,495	
PER(배)	N/A	64.57	2.41		11.03	2.41	2.69	
BPS(원)	39,201	40,725	49,555		42,659	49,555	46,151	
PBR(배)	0.72	0.71	0.55		0.64	0.55	0.53	
현금DPS(원)	635	1,000	4,700		2,000	2,000		
현금배당수익률	2.26	3.47	17.25					
현금배당성향(%)	-113.88	208.67	38.41		209.57	21.08		
발행주식수(보통주)	3,265,735	2,895,569	2,895,569		2,895,569	2,895,569	2,895,569	
